hbresname,discharge_fin_yr_end,sex,age_grp,stays,rate
NHS Greater Glasgow & Clyde,2015,Both Sexes,35-44,150,103.99
NHS Highland,2015,Both Sexes,35-44,30,80.53
NHS Lanarkshire,2015,Both Sexes,35-44,95,110.33
NHS Lothian,2015,Both Sexes,35-44,125,106.72
NHS Orkney,2015,Both Sexes,35-44,2,80.29
NHS Tayside,2015,Both Sexes,35-44,29,61.38
NHS Western Isles,2015,Both Sexes,35-44,1,30.53
Other,2015,Both Sexes,35-44,11,-
NHSScotland,2015,Both Sexes,35-44,648,95.88
NHS Ayrshire & Arran,2015,Both Sexes,45-54,73,127.66
NHS Borders,2015,Both Sexes,45-54,21,114.54
NHS Dumfries & Galloway,2015,Both Sexes,45-54,9,38.61
NHS Fife,2015,Both Sexes,45-54,58,104.61
NHS Forth Valley,2015,Both Sexes,45-54,34,72.37
NHS Grampian,2015,Both Sexes,45-54,47,55.51
NHS Greater Glasgow & Clyde,2015,Both Sexes,45-54,218,127.72
NHS Highland,2015,Both Sexes,45-54,47,94.7
NHS Lanarkshire,2015,Both Sexes,45-54,110,107.17
NHS Lothian,2015,Both Sexes,45-54,132,108.01
NHS Orkney,2015,Both Sexes,45-54,2,58.5
NHS Shetland,2015,Both Sexes,45-54,1,28.8
NHS Tayside,2015,Both Sexes,45-54,37,61.51
NHS Western Isles,2015,Both Sexes,45-54,1,23.87
Other,2015,Both Sexes,45-54,8,-
NHSScotland,2015,Both Sexes,45-54,798,99.46
NHS Ayrshire & Arran,2015,Both Sexes,55-64,71,139.45
NHS Borders,2015,Both Sexes,55-64,4,24.08
NHS Dumfries & Galloway,2015,Both Sexes,55-64,22,100.69
NHS Fife,2015,Both Sexes,55-64,44,92.98
NHS Forth Valley,2015,Both Sexes,55-64,23,61.17
NHS Grampian,2015,Both Sexes,55-64,37,51.47
NHS Greater Glasgow & Clyde,2015,Both Sexes,55-64,168,124.42
NHS Highland,2015,Both Sexes,55-64,34,73.73
NHS Lanarkshire,2015,Both Sexes,55-64,93,111.69
NHS Lothian,2015,Both Sexes,55-64,87,89.82
NHS Orkney,2015,Both Sexes,55-64,1,32.57
NHS Shetland,2015,Both Sexes,55-64,2,64.58
NHS Tayside,2015,Both Sexes,55-64,19,35.95
NHS Western Isles,2015,Both Sexes,55-64,3,74.93
Other,2015,Both Sexes,55-64,7,-
NHSScotland,2015,Both Sexes,55-64,615,91.73
NHS Ayrshire & Arran,2015,Both Sexes,65-74,38,86.26
NHS Borders,2015,Both Sexes,65-74,9,60.97
NHS Dumfries & Galloway,2015,Both Sexes,65-74,10,50.29
NHS Fife,2015,Both Sexes,65-74,26,64.57
NHS Forth Valley,2015,Both Sexes,65-74,24,78.23
NHS Grampian,2015,Both Sexes,65-74,27,49.05
NHS Greater Glasgow & Clyde,2015,Both Sexes,65-74,78,78.23
NHS Highland,2015,Both Sexes,65-74,16,40.82
NHS Lanarkshire,2015,Both Sexes,65-74,46,72.3
NHS Lothian,2015,Both Sexes,65-74,71,95.48
NHS Orkney,2015,Both Sexes,65-74,2,73.05
NHS Tayside,2015,Both Sexes,65-74,19,42.29
NHS Western Isles,2015,Both Sexes,65-74,2,57.01
Other,2015,Both Sexes,65-74,5,-
NHSScotland,2015,Both Sexes,65-74,373,69.69
NHS Ayrshire & Arran,2015,Both Sexes,65+,101,129.35
NHS Borders,2015,Both Sexes,65+,18,68.36
NHS Dumfries & Galloway,2015,Both Sexes,65+,18,50.3
NHS Fife,2015,Both Sexes,65+,40,56.28
NHS Forth Valley,2015,Both Sexes,65+,48,88.62
NHS Grampian,2015,Both Sexes,65+,56,56.53
NHS Greater Glasgow & Clyde,2015,Both Sexes,65+,214,114.41
NHS Highland,2015,Both Sexes,65+,44,63.63
NHS Lanarkshire,2015,Both Sexes,65+,86,76.53
NHS Lothian,2015,Both Sexes,65+,125,91.89
NHS Orkney,2015,Both Sexes,65+,2,42.42
NHS Tayside,2015,Both Sexes,65+,38,45.26
NHS Western Isles,2015,Both Sexes,65+,6,93.01
Other,2015,Both Sexes,65+,14,-
NHSScotland,2015,Both Sexes,65+,810,83.64
NHS Ayrshire & Arran,2015,Both Sexes,75-84,42,166.29
NHS Borders,2015,Both Sexes,75-84,7,82.25
NHS Dumfries & Galloway,2015,Both Sexes,75-84,8,67.72
NHS Fife,2015,Both Sexes,75-84,7,31.03
NHS Forth Valley,2015,Both Sexes,75-84,17,96.4
NHS Grampian,2015,Both Sexes,75-84,22,68.75
NHS Greater Glasgow & Clyde,2015,Both Sexes,75-84,108,167.79
NHS Highland,2015,Both Sexes,75-84,19,86.25
NHS Lanarkshire,2015,Both Sexes,75-84,26,70.17
NHS Lothian,2015,Both Sexes,75-84,38,84.98
NHS Tayside,2015,Both Sexes,75-84,16,56.9
NHS Western Isles,2015,Both Sexes,75-84,4,192.49
Other,2015,Both Sexes,75-84,6,-
NHSScotland,2015,Both Sexes,75-84,320,100.36
NHS Ayrshire & Arran,2015,Both Sexes,75+,63,185.15
NHS Borders,2015,Both Sexes,75+,9,77.8
NHS Dumfries & Galloway,2015,Both Sexes,75+,8,50.32
NHS Fife,2015,Both Sexes,75+,14,45.44
NHS Forth Valley,2015,Both Sexes,75+,24,102.18
NHS Grampian,2015,Both Sexes,75+,29,65.88
NHS Greater Glasgow & Clyde,2015,Both Sexes,75+,136,155.72
NHS Highland,2015,Both Sexes,75+,28,93.48
NHS Lanarkshire,2015,Both Sexes,75+,40,82.06
NHS Lothian,2015,Both Sexes,75+,54,87.55
NHS Tayside,2015,Both Sexes,75+,19,48.68
NHS Western Isles,2015,Both Sexes,75+,4,135.92
Other,2015,Both Sexes,75+,9,-
NHSScotland,2015,Both Sexes,75+,437,100.87
NHS Ayrshire & Arran,2015,Both Sexes,85+,21,239.45
NHS Borders,2015,Both Sexes,85+,2,65.42
NHS Fife,2015,Both Sexes,85+,7,84.83
NHS Forth Valley,2015,Both Sexes,85+,7,119.62
NHS Grampian,2015,Both Sexes,85+,7,58.24
NHS Greater Glasgow & Clyde,2015,Both Sexes,85+,28,121.9
NHS Highland,2015,Both Sexes,85+,9,113.56
NHS Lanarkshire,2015,Both Sexes,85+,14,119.73
NHS Lothian,2015,Both Sexes,85+,16,94.35
NHS Tayside,2015,Both Sexes,85+,3,27.5
Other,2015,Both Sexes,85+,3,-
NHSScotland,2015,Both Sexes,85+,117,102.29
NHS Ayrshire & Arran,2015,Both Sexes,All ages,573,154.39
NHS Borders,2015,Both Sexes,All ages,122,106.98
NHS Dumfries & Galloway,2015,Both Sexes,All ages,141,94.03
NHS Fife,2015,Both Sexes,All ages,393,107.01
NHS Forth Valley,2015,Both Sexes,All ages,288,95.87
NHS Grampian,2015,Both Sexes,All ages,389,66.58
NHS Greater Glasgow & Clyde,2015,Both Sexes,All ages,1655,144.85
NHS Highland,2015,Both Sexes,All ages,309,96.34
NHS Lanarkshire,2015,Both Sexes,All ages,849,129.96
NHS Lothian,2015,Both Sexes,All ages,1139,132.73
NHS Orkney,2015,Both Sexes,All ages,11,50.97
NHS Shetland,2015,Both Sexes,All ages,6,25.84
NHS Tayside,2015,Both Sexes,All ages,338,81.68
NHS Western Isles,2015,Both Sexes,All ages,21,77.06
Other,2015,Both Sexes,All ages,84,-
NHSScotland,2015,Both Sexes,All ages,6318,118.15
NHS Ayrshire & Arran,2015,Female,00-14,61,213.67
NHS Borders,2015,Female,00-14,17,193.91
NHS Dumfries & Galloway,2015,Female,00-14,18,165.91
NHS Fife,2015,Female,00-14,35,120.47
NHS Forth Valley,2015,Female,00-14,46,190.41
NHS Grampian,2015,Female,00-14,46,101.98
NHS Greater Glasgow & Clyde,2015,Female,00-14,203,230.08
NHS Highland,2015,Female,00-14,50,205.19
NHS Lanarkshire,2015,Female,00-14,124,228.48
NHS Lothian,2015,Female,00-14,110,164.23
NHS Tayside,2015,Female,00-14,42,135.72
NHS Western Isles,2015,Female,00-14,4,200.8
Other,2015,Female,00-14,9,-
NHSScotland,2015,Female,00-14,765,183.55
NHS Ayrshire & Arran,2015,Female,15-24,44,207.33
NHS Borders,2015,Female,15-24,14,240.47
NHS Dumfries & Galloway,2015,Female,15-24,6,76.11
NHS Fife,2015,Female,15-24,40,172.69
NHS Forth Valley,2015,Female,15-24,15,80.65
NHS Grampian,2015,Female,15-24,24,64.52
NHS Greater Glasgow & Clyde,2015,Female,15-24,118,152.34
NHS Highland,2015,Female,15-24,12,74.74
NHS Lanarkshire,2015,Female,15-24,53,138.07
NHS Lothian,2015,Female,15-24,106,180.5
NHS Orkney,2015,Female,15-24,3,273.47
NHS Shetland,2015,Female,15-24,1,77.88
NHS Tayside,2015,Female,15-24,22,81.15
NHS Western Isles,2015,Female,15-24,4,314.71
Other,2015,Female,15-24,5,-
NHSScotland,2015,Female,15-24,467,139.29
NHS Ayrshire & Arran,2015,Female,25-34,39,188.94
NHS Borders,2015,Female,25-34,8,152.21
NHS Dumfries & Galloway,2015,Female,25-34,7,93.18
NHS Fife,2015,Female,25-34,48,220.07
NHS Forth Valley,2015,Female,25-34,13,72.69
NHS Grampian,2015,Female,25-34,29,70.35
NHS Greater Glasgow & Clyde,2015,Female,25-34,106,123.79
NHS Highland,2015,Female,25-34,15,88.87
NHS Lanarkshire,2015,Female,25-34,44,106.45
NHS Lothian,2015,Female,25-34,97,141.21
NHS Shetland,2015,Female,25-34,1,75.76
NHS Tayside,2015,Female,25-34,22,85.24
NHS Western Isles,2015,Female,25-34,1,77.7
Other,2015,Female,25-34,7,-
NHSScotland,2015,Female,25-34,437,122.61
NHS Ayrshire & Arran,2015,Female,35-44,44,189.21
NHS Borders,2015,Female,35-44,8,116.86
NHS Dumfries & Galloway,2015,Female,35-44,10,119.82
NHS Fife,2015,Female,35-44,30,128.42
NHS Forth Valley,2015,Female,35-44,26,126.74
NHS Grampian,2015,Female,35-44,29,76.01
NHS Greater Glasgow & Clyde,2015,Female,35-44,116,156.24
NHS Highland,2015,Female,35-44,21,108.49
NHS Lanarkshire,2015,Female,35-44,69,155.85
NHS Lothian,2015,Female,35-44,96,163.74
NHS Orkney,2015,Female,35-44,1,76.1
NHS Tayside,2015,Female,35-44,20,82.08
NHS Western Isles,2015,Female,35-44,1,60.57
Other,2015,Female,35-44,8,-
NHSScotland,2015,Female,35-44,479,138.52
NHS Ayrshire & Arran,2015,Female,45-54,53,177
NHS Borders,2015,Female,45-54,18,193.4
NHS Dumfries & Galloway,2015,Female,45-54,7,57.79
NHS Fife,2015,Female,45-54,47,165.49
NHS Forth Valley,2015,Female,45-54,26,108.8
NHS Grampian,2015,Female,45-54,32,75.04
NHS Greater Glasgow & Clyde,2015,Female,45-54,152,170.31
NHS Highland,2015,Female,45-54,34,133.96
NHS Lanarkshire,2015,Female,45-54,71,134.26
NHS Lothian,2015,Female,45-54,102,164.85
NHS Orkney,2015,Female,45-54,2,119.19
NHS Shetland,2015,Female,45-54,1,58.79
NHS Tayside,2015,Female,45-54,25,80.95
NHS Western Isles,2015,Female,45-54,1,47.96
Other,2015,Female,45-54,2,-
NHSScotland,2015,Female,45-54,573,139.07
NHS Ayrshire & Arran,2015,Female,55-64,46,174.11
NHS Borders,2015,Female,55-64,1,11.85
NHS Dumfries & Galloway,2015,Female,55-64,10,89.61
NHS Fife,2015,Female,55-64,37,152.19
NHS Forth Valley,2015,Female,55-64,18,93.55
NHS Grampian,2015,Female,55-64,29,80.78
NHS Greater Glasgow & Clyde,2015,Female,55-64,119,170.95
NHS Highland,2015,Female,55-64,23,97.93
NHS Lanarkshire,2015,Female,55-64,70,161.93
NHS Lothian,2015,Female,55-64,64,129.19
NHS Shetland,2015,Female,55-64,2,132.1
NHS Tayside,2015,Female,55-64,10,37.08
NHS Western Isles,2015,Female,55-64,1,50.66
Other,2015,Female,55-64,6,-
NHSScotland,2015,Female,55-64,436,127
NHS Ayrshire & Arran,2015,Female,65-74,23,98.84
NHS Borders,2015,Female,65-74,7,92.03
NHS Dumfries & Galloway,2015,Female,65-74,6,58.58
NHS Fife,2015,Female,65-74,14,66.53
NHS Forth Valley,2015,Female,65-74,16,99.53
NHS Grampian,2015,Female,65-74,21,73.94
NHS Greater Glasgow & Clyde,2015,Female,65-74,59,110.67
NHS Highland,2015,Female,65-74,12,59.6
NHS Lanarkshire,2015,Female,65-74,29,85.52
NHS Lothian,2015,Female,65-74,51,129.34
NHS Orkney,2015,Female,65-74,2,142.86
NHS Tayside,2015,Female,65-74,12,50.88
Other,2015,Female,65-74,4,-
NHSScotland,2015,Female,65-74,256,90.98
NHS Ayrshire & Arran,2015,Female,65+,58,133.72
NHS Borders,2015,Female,65+,14,98
NHS Dumfries & Galloway,2015,Female,65+,12,62.26
NHS Fife,2015,Female,65+,21,53.52
NHS Forth Valley,2015,Female,65+,31,103.4
NHS Grampian,2015,Female,65+,45,82.75
NHS Greater Glasgow & Clyde,2015,Female,65+,151,140.09
NHS Highland,2015,Female,65+,31,82.14
NHS Lanarkshire,2015,Female,65+,55,86.35
NHS Lothian,2015,Female,65+,89,116.2
NHS Orkney,2015,Female,65+,2,79.59
NHS Tayside,2015,Female,65+,29,61.91
NHS Western Isles,2015,Female,65+,4,112.8
Other,2015,Female,65+,11,-
NHSScotland,2015,Female,65+,553,102.13
NHS Ayrshire & Arran,2015,Female,75-84,26,182.61
NHS Borders,2015,Female,75-84,5,106.29
NHS Dumfries & Galloway,2015,Female,75-84,6,93.66
NHS Fife,2015,Female,75-84,3,23.57
NHS Forth Valley,2015,Female,75-84,9,89.94
NHS Grampian,2015,Female,75-84,18,99.76
NHS Greater Glasgow & Clyde,2015,Female,75-84,67,173.63
NHS Highland,2015,Female,75-84,14,113.24
NHS Lanarkshire,2015,Female,75-84,15,68.89
NHS Lothian,2015,Female,75-84,25,96.73
NHS Tayside,2015,Female,75-84,14,87.98
NHS Western Isles,2015,Female,75-84,4,336.42
Other,2015,Female,75-84,4,-
NHSScotland,2015,Female,75-84,210,114.58
NHS Ayrshire & Arran,2015,Female,75+,35,174.09
NHS Borders,2015,Female,75+,7,104.79
NHS Dumfries & Galloway,2015,Female,75+,6,66.44
NHS Fife,2015,Female,75+,7,38.47
NHS Forth Valley,2015,Female,75+,15,107.88
NHS Grampian,2015,Female,75+,24,92.38
NHS Greater Glasgow & Clyde,2015,Female,75+,92,168.87
NHS Highland,2015,Female,75+,19,107.91
NHS Lanarkshire,2015,Female,75+,26,87.29
NHS Lothian,2015,Female,75+,38,102.25
NHS Tayside,2015,Female,75+,17,73.11
NHS Western Isles,2015,Female,75+,4,225.73
Other,2015,Female,75+,7,-
NHSScotland,2015,Female,75+,297,114.19
NHS Ayrshire & Arran,2015,Female,85+,9,153.43
NHS Borders,2015,Female,85+,2,101.21
NHS Fife,2015,Female,85+,4,73.18
NHS Forth Valley,2015,Female,85+,6,153.96
NHS Grampian,2015,Female,85+,6,75.6
NHS Greater Glasgow & Clyde,2015,Female,85+,25,157.32
NHS Highland,2015,Female,85+,5,95.33
NHS Lanarkshire,2015,Female,85+,11,137.31
NHS Lothian,2015,Female,85+,13,114.88
NHS Tayside,2015,Female,85+,3,40.87
Other,2015,Female,85+,3,-
NHSScotland,2015,Female,85+,87,113.26
NHS Ayrshire & Arran,2015,Female,All ages,345,178.38
NHS Borders,2015,Female,All ages,80,136.24
NHS Dumfries & Galloway,2015,Female,All ages,70,90.75
NHS Fife,2015,Female,All ages,258,136.26
NHS Forth Valley,2015,Female,All ages,175,113.43
NHS Grampian,2015,Female,All ages,234,79.43
NHS Greater Glasgow & Clyde,2015,Female,All ages,965,162.95
NHS Highland,2015,Female,All ages,186,113.93
NHS Lanarkshire,2015,Female,All ages,486,143.76
NHS Lothian,2015,Female,All ages,664,150.56
NHS Orkney,2015,Female,All ages,8,73.73
NHS Shetland,2015,Female,All ages,5,43.76
NHS Tayside,2015,Female,All ages,170,79.84
NHS Western Isles,2015,Female,All ages,16,115.89
Other,2015,Female,All ages,48,-
NHSScotland,2015,Female,All ages,3710,134.86
NHS Ayrshire & Arran,2015,Male,00-14,83,279.73
NHS Borders,2015,Male,00-14,24,264.67
NHS Dumfries & Galloway,2015,Male,00-14,33,287.81
NHS Fife,2015,Male,00-14,60,194.33
NHS Forth Valley,2015,Male,00-14,61,242.03
NHS Grampian,2015,Male,00-14,68,142.95
NHS Greater Glasgow & Clyde,2015,Male,00-14,348,379.08
NHS Highland,2015,Male,00-14,62,242.77
NHS Lanarkshire,2015,Male,00-14,182,323.22
NHS Lothian,2015,Male,00-14,272,389.43
NHS Orkney,2015,Male,00-14,1,60.17
NHS Shetland,2015,Male,00-14,1,47.28
NHS Tayside,2015,Male,00-14,98,301.92
NHS Western Isles,2015,Male,00-14,1,47.1
Other,2015,Male,00-14,16,-
NHSScotland,2015,Male,00-14,1310,300.66
NHS Ayrshire & Arran,2015,Male,15-24,26,118.58
NHS Dumfries & Galloway,2015,Male,15-24,5,61.07
NHS Fife,2015,Male,15-24,12,52.58
NHS Forth Valley,2015,Male,15-24,12,61.74
NHS Grampian,2015,Male,15-24,17,44.55
NHS Greater Glasgow & Clyde,2015,Male,15-24,77,98.58
NHS Highland,2015,Male,15-24,13,70.28
NHS Lanarkshire,2015,Male,15-24,37,92.04
NHS Lothian,2015,Male,15-24,45,79.56
NHS Tayside,2015,Male,15-24,13,46.89
Other,2015,Male,15-24,3,-
NHSScotland,2015,Male,15-24,260,76.13
NHS Ayrshire & Arran,2015,Male,25-34,14,73.57
NHS Borders,2015,Male,25-34,3,60.99
NHS Dumfries & Galloway,2015,Male,25-34,7,98.31
NHS Fife,2015,Male,25-34,14,69.14
NHS Forth Valley,2015,Male,25-34,3,18.02
NHS Grampian,2015,Male,25-34,25,58.92
NHS Greater Glasgow & Clyde,2015,Male,25-34,53,62.82
NHS Highland,2015,Male,25-34,2,11.6
NHS Lanarkshire,2015,Male,25-34,25,65.07
NHS Lothian,2015,Male,25-34,40,61.46
NHS Tayside,2015,Male,25-34,18,70.44
Other,2015,Male,25-34,4,-
NHSScotland,2015,Male,25-34,208,60.32
NHS Ayrshire & Arran,2015,Male,35-44,17,82.25
NHS Borders,2015,Male,35-44,5,80.32
NHS Dumfries & Galloway,2015,Male,35-44,6,78.43
NHS Fife,2015,Male,35-44,12,54.37
NHS Forth Valley,2015,Male,35-44,6,31.24
NHS Grampian,2015,Male,35-44,11,28.37
NHS Greater Glasgow & Clyde,2015,Male,35-44,34,48.57
NHS Highland,2015,Male,35-44,9,50.29
NHS Lanarkshire,2015,Male,35-44,26,62.15
NHS Lothian,2015,Male,35-44,29,49.57
NHS Orkney,2015,Male,35-44,1,84.96
NHS Tayside,2015,Male,35-44,9,39.34
Other,2015,Male,35-44,3,-
NHSScotland,2015,Male,35-44,168,50.9
NHS Ayrshire & Arran,2015,Male,45-54,20,73.43
NHS Borders,2015,Male,45-54,3,33.23
NHS Dumfries & Galloway,2015,Male,45-54,2,17.86
NHS Fife,2015,Male,45-54,11,40.67
NHS Forth Valley,2015,Male,45-54,8,34.66
NHS Grampian,2015,Male,45-54,15,35.7
NHS Greater Glasgow & Clyde,2015,Male,45-54,66,81.05
NHS Highland,2015,Male,45-54,13,53.61
NHS Lanarkshire,2015,Male,45-54,39,78.38
NHS Lothian,2015,Male,45-54,30,49.72
NHS Tayside,2015,Male,45-54,12,41
Other,2015,Male,45-54,6,-
NHSScotland,2015,Male,45-54,225,57.65
NHS Ayrshire & Arran,2015,Male,55-64,25,102.07
NHS Borders,2015,Male,55-64,3,36.69
NHS Dumfries & Galloway,2015,Male,55-64,12,112.26
NHS Fife,2015,Male,55-64,7,30.42
NHS Forth Valley,2015,Male,55-64,5,27.23
NHS Grampian,2015,Male,55-64,8,22.23
NHS Greater Glasgow & Clyde,2015,Male,55-64,49,74.91
NHS Highland,2015,Male,55-64,11,48.61
NHS Lanarkshire,2015,Male,55-64,23,57.44
NHS Lothian,2015,Male,55-64,23,48.61
NHS Orkney,2015,Male,55-64,1,64.18
NHS Tayside,2015,Male,55-64,9,34.78
NHS Western Isles,2015,Male,55-64,2,98.52
Other,2015,Male,55-64,1,-
NHSScotland,2015,Male,55-64,179,54.71
NHS Ayrshire & Arran,2015,Male,65-74,15,72.16
NHS Borders,2015,Male,65-74,2,27.95
NHS Dumfries & Galloway,2015,Male,65-74,4,41.48
NHS Fife,2015,Male,65-74,12,62.42
NHS Forth Valley,2015,Male,65-74,8,54.78
NHS Grampian,2015,Male,65-74,6,22.52
NHS Greater Glasgow & Clyde,2015,Male,65-74,19,40.95
NHS Highland,2015,Male,65-74,4,20.98
NHS Lanarkshire,2015,Male,65-74,17,57.22
NHS Lothian,2015,Male,65-74,20,57.26
NHS Tayside,2015,Male,65-74,7,32.81
NHS Western Isles,2015,Male,65-74,2,115.34
Other,2015,Male,65-74,1,-
NHSScotland,2015,Male,65-74,117,46.09
NHS Ayrshire & Arran,2015,Male,65+,43,123.89
NHS Borders,2015,Male,65+,4,33.21
NHS Dumfries & Galloway,2015,Male,65+,6,36.34
NHS Fife,2015,Male,65+,19,59.68
NHS Forth Valley,2015,Male,65+,17,70.29
NHS Grampian,2015,Male,65+,11,24.62
NHS Greater Glasgow & Clyde,2015,Male,65+,63,79.5
NHS Highland,2015,Male,65+,13,41.39
NHS Lanarkshire,2015,Male,65+,31,63.69
NHS Lothian,2015,Male,65+,36,60.56
NHS Tayside,2015,Male,65+,9,24.25
NHS Western Isles,2015,Male,65+,2,68.85
Other,2015,Male,65+,3,-
NHSScotland,2015,Male,65+,257,60.19
NHS Ayrshire & Arran,2015,Male,75-84,16,145.2
NHS Borders,2015,Male,75-84,2,52.53
NHS Dumfries & Galloway,2015,Male,75-84,2,36.99
NHS Fife,2015,Male,75-84,4,40.7
NHS Forth Valley,2015,Male,75-84,8,104.88
NHS Grampian,2015,Male,75-84,4,28.66
NHS Greater Glasgow & Clyde,2015,Male,75-84,41,159.04
NHS Highland,2015,Male,75-84,5,51.73
NHS Lanarkshire,2015,Male,75-84,11,72
NHS Lothian,2015,Male,75-84,13,68.89
NHS Tayside,2015,Male,75-84,2,16.38
Other,2015,Male,75-84,2,-
NHSScotland,2015,Male,75-84,110,81.13
NHS Ayrshire & Arran,2015,Male,75+,28,201.11
NHS Borders,2015,Male,75+,2,40.92
NHS Dumfries & Galloway,2015,Male,75+,2,29.12
NHS Fife,2015,Male,75+,7,55.49
NHS Forth Valley,2015,Male,75+,9,93.92
NHS Grampian,2015,Male,75+,5,27.72
NHS Greater Glasgow & Clyde,2015,Male,75+,44,133.91
NHS Highland,2015,Male,75+,9,72.9
NHS Lanarkshire,2015,Male,75+,14,73.84
NHS Lothian,2015,Male,75+,16,65.27
NHS Tayside,2015,Male,75+,2,12.68
Other,2015,Male,75+,2,-
NHSScotland,2015,Male,75+,140,80.85
NHS Ayrshire & Arran,2015,Male,85+,12,413.22
NHS Fife,2015,Male,85+,3,107.68
NHS Forth Valley,2015,Male,85+,1,51.15
NHS Grampian,2015,Male,85+,1,24.49
NHS Greater Glasgow & Clyde,2015,Male,85+,3,42.38
NHS Highland,2015,Male,85+,4,149.25
NHS Lanarkshire,2015,Male,85+,3,81.48
NHS Lothian,2015,Male,85+,3,53.16
NHSScotland,2015,Male,85+,30,79.86
NHS Ayrshire & Arran,2015,Male,All ages,228,128.28
NHS Borders,2015,Male,All ages,42,75.92
NHS Dumfries & Galloway,2015,Male,All ages,71,97.49
NHS Fife,2015,Male,All ages,135,75.88
NHS Forth Valley,2015,Male,All ages,112,76.65
NHS Grampian,2015,Male,All ages,155,53.52
NHS Greater Glasgow & Clyde,2015,Male,All ages,690,125.37
NHS Highland,2015,Male,All ages,123,78.11
NHS Lanarkshire,2015,Male,All ages,363,115.15
NHS Lothian,2015,Male,All ages,475,113.89
NHS Orkney,2015,Male,All ages,3,27.96
NHS Shetland,2015,Male,All ages,1,8.48
NHS Tayside,2015,Male,All ages,168,83.63
NHS Western Isles,2015,Male,All ages,5,37.19
Other,2015,Male,All ages,36,-
NHSScotland,2015,Male,All ages,2607,100.4
NHS Ayrshire & Arran,2016,Both Sexes,00-14,164,282.04
NHS Borders,2016,Both Sexes,00-14,24,135.46
NHS Dumfries & Galloway,2016,Both Sexes,00-14,56,252.66
NHS Fife,2016,Both Sexes,00-14,115,190.68
NHS Forth Valley,2016,Both Sexes,00-14,95,192.26
NHS Grampian,2016,Both Sexes,00-14,92,98.7
NHS Greater Glasgow & Clyde,2016,Both Sexes,00-14,460,254.06
NHS Highland,2016,Both Sexes,00-14,106,212.77
NHS Lanarkshire,2016,Both Sexes,00-14,325,293.62
NHS Lothian,2016,Both Sexes,00-14,284,205.43
NHS Shetland,2016,Both Sexes,00-14,5,126.2
