hbresname,discharge_fin_yr_end,sex,age_grp,stays,rate,hb_code
NHS Ayrshire & Arran,2012,Both,65-74,34,85.54,S08000015
NHS Borders,2012,Both,65-74,6,45.95,S08000016
NHS Dumfries & Galloway,2012,Both,65-74,10,55.23,S08000017
NHS Fife,2012,Both,65-74,15,42.3,S08000029
NHS Forth Valley,2012,Both,65-74,19,68.66,S08000019
NHS Grampian,2012,Both,65-74,31,63.58,S08000020
NHS Greater Glasgow & Clyde,2012,Both,65-74,84,89.31,S08000021
NHS Highland,2012,Both,65-74,32,91.77,S08000022
NHS Lanarkshire,2012,Both,65-74,36,61.62,S08000023
NHS Lothian,2012,Both,65-74,47,70.97,S08000024
NHS Tayside,2012,Both,65-74,19,46.86,S08000030
NHS Western Isles,2012,Both,65-74,2,61.8,S08000028
Other,2012,Both,65-74,2,-,Other
NHS Scotland,2012,Both,65-74,337,69.52,NHS Scotland
NHS Ayrshire & Arran,2012,Both,65+,68,94.56,S08000015
NHS Borders,2012,Both,65+,13,54.26,S08000016
NHS Dumfries & Galloway,2012,Both,65+,18,54.05,S08000017
NHS Fife,2012,Both,65+,36,55.73,S08000029
NHS Forth Valley,2012,Both,65+,38,76.85,S08000019
NHS Grampian,2012,Both,65+,70,77.13,S08000020
NHS Greater Glasgow & Clyde,2012,Both,65+,187,104.65,S08000021
NHS Highland,2012,Both,65+,57,90.6,S08000022
NHS Lanarkshire,2012,Both,65+,69,66.34,S08000023
NHS Lothian,2012,Both,65+,98,78.42,S08000024
NHS Tayside,2012,Both,65+,29,37.31,S08000030
NHS Western Isles,2012,Both,65+,4,66.43,S08000028
Other,2012,Both,65+,5,-,Other
NHS Scotland,2012,Both,65+,692,77.2,NHS Scotland
NHS Ayrshire & Arran,2012,Both,75-84,28,117.64,S08000015
NHS Borders,2012,Both,75-84,7,88.26,S08000016
NHS Dumfries & Galloway,2012,Both,75-84,7,61.76,S08000017
NHS Fife,2012,Both,75-84,17,79.49,S08000029
NHS Forth Valley,2012,Both,75-84,13,79.68,S08000019
NHS Grampian,2012,Both,75-84,33,106.82,S08000020
NHS Greater Glasgow & Clyde,2012,Both,75-84,82,130.61,S08000021
NHS Highland,2012,Both,75-84,17,82.31,S08000022
NHS Lanarkshire,2012,Both,75-84,27,77.39,S08000023
NHS Lothian,2012,Both,75-84,30,69.91,S08000024
NHS Tayside,2012,Both,75-84,9,33.15,S08000030
NHS Western Isles,2012,Both,75-84,1,50.15,S08000028
Other,2012,Both,75-84,3,-,Other
NHS Scotland,2012,Both,75-84,274,89.97,NHS Scotland
NHS Ayrshire & Arran,2012,Both,75+,34,105.69,S08000015
NHS Borders,2012,Both,75+,7,64.21,S08000016
NHS Dumfries & Galloway,2012,Both,75+,8,52.64,S08000017
NHS Fife,2012,Both,75+,21,72.08,S08000029
NHS Forth Valley,2012,Both,75+,19,87.26,S08000019
NHS Grampian,2012,Both,75+,39,92.87,S08000020
NHS Greater Glasgow & Clyde,2012,Both,75+,103,121.69,S08000021
NHS Highland,2012,Both,75+,25,89.16,S08000022
NHS Lanarkshire,2012,Both,75+,33,72.39,S08000023
NHS Lothian,2012,Both,75+,51,86.83,S08000024
NHS Tayside,2012,Both,75+,10,26.89,S08000030
NHS Western Isles,2012,Both,75+,2,71.81,S08000028
Other,2012,Both,75+,3,-,Other
NHS Scotland,2012,Both,75+,355,86.25,NHS Scotland
NHS Ayrshire & Arran,2012,Both,85+,6,71.71,S08000015
NHS Dumfries & Galloway,2012,Both,85+,1,25.89,S08000017
NHS Fife,2012,Both,85+,4,51.63,S08000029
NHS Forth Valley,2012,Both,85+,6,109.89,S08000019
NHS Grampian,2012,Both,85+,6,54.05,S08000020
NHS Greater Glasgow & Clyde,2012,Both,85+,21,96.08,S08000021
NHS Highland,2012,Both,85+,8,108.31,S08000022
NHS Lanarkshire,2012,Both,85+,6,56.07,S08000023
NHS Lothian,2012,Both,85+,21,132.7,S08000024
NHS Tayside,2012,Both,85+,1,9.97,S08000030
NHS Western Isles,2012,Both,85+,1,126.42,S08000028
NHS Scotland,2012,Both,85+,81,75.67,NHS Scotland
NHS Ayrshire & Arran,2012,Both,All ages,519,138.86,S08000015
NHS Borders,2012,Both,All ages,124,108.89,S08000016
NHS Dumfries & Galloway,2012,Both,All ages,141,93.12,S08000017
NHS Fife,2012,Both,All ages,327,89.52,S08000029
NHS Forth Valley,2012,Both,All ages,268,89.91,S08000019
NHS Grampian,2012,Both,All ages,503,88.31,S08000020
NHS Greater Glasgow & Clyde,2012,Both,All ages,1500,132.11,S08000021
NHS Highland,2012,Both,All ages,344,106.95,S08000022
NHS Lanarkshire,2012,Both,All ages,802,123.08,S08000023
NHS Lothian,2012,Both,All ages,926,110.68,S08000024
NHS Orkney Islands,2012,Both,All ages,11,51.35,S08000025
NHS Shetland Islands,2012,Both,All ages,6,25.82,S08000026
NHS Tayside,2012,Both,All ages,382,93.11,S08000030
NHS Western Isles,2012,Both,All ages,30,108.34,S08000028
Other,2012,Both,All ages,54,-,Other
NHS Scotland,2012,Both,All ages,5937,112.02,NHS Scotland
NHS Ayrshire & Arran,2012,Female,00-14,79,269.2,S08000015
NHS Borders,2012,Female,00-14,26,293.98,S08000016
NHS Dumfries & Galloway,2012,Female,00-14,14,123.14,S08000017
NHS Fife,2012,Female,00-14,43,146.73,S08000029
NHS Forth Valley,2012,Female,00-14,31,126.69,S08000019
NHS Grampian,2012,Female,00-14,68,155.11,S08000020
NHS Greater Glasgow & Clyde,2012,Female,00-14,174,197.8,S08000021
NHS Highland,2012,Female,00-14,51,203.39,S08000022
NHS Lanarkshire,2012,Female,00-14,131,237.57,S08000023
NHS Lothian,2012,Female,00-14,108,165.57,S08000024
NHS Orkney Islands,2012,Female,00-14,1,62.03,S08000025
NHS Tayside,2012,Female,00-14,64,204.15,S08000030
NHS Western Isles,2012,Female,00-14,2,95.37,S08000028
Other,2012,Female,00-14,7,-,Other
NHS Scotland,2012,Female,00-14,799,191.31,NHS Scotland
NHS Ayrshire & Arran,2012,Female,15-24,39,176.77,S08000015
NHS Borders,2012,Female,15-24,6,102.48,S08000016
NHS Dumfries & Galloway,2012,Female,15-24,5,61.77,S08000017
NHS Fife,2012,Female,15-24,18,76.11,S08000029
NHS Forth Valley,2012,Female,15-24,16,84.54,S08000019
NHS Grampian,2012,Female,15-24,36,95.65,S08000020
NHS Greater Glasgow & Clyde,2012,Female,15-24,109,134.17,S08000021
NHS Highland,2012,Female,15-24,28,169.87,S08000022
NHS Lanarkshire,2012,Female,15-24,36,92.5,S08000023
NHS Lothian,2012,Female,15-24,71,118.78,S08000024
NHS Orkney Islands,2012,Female,15-24,3,251.05,S08000025
NHS Shetland Islands,2012,Female,15-24,1,76.34,S08000026
NHS Tayside,2012,Female,15-24,29,105.6,S08000030
NHS Western Isles,2012,Female,15-24,5,374.25,S08000028
NHS Scotland,2012,Female,15-24,402,116.88,NHS Scotland
NHS Ayrshire & Arran,2012,Female,25-34,27,132.91,S08000015
NHS Borders,2012,Female,25-34,5,96.66,S08000016
NHS Dumfries & Galloway,2012,Female,25-34,10,137.31,S08000017
NHS Fife,2012,Female,25-34,25,117.5,S08000029
NHS Forth Valley,2012,Female,25-34,16,90.1,S08000019
NHS Grampian,2012,Female,25-34,56,147.72,S08000020
NHS Greater Glasgow & Clyde,2012,Female,25-34,116,144.23,S08000021
NHS Highland,2012,Female,25-34,15,89,S08000022
NHS Lanarkshire,2012,Female,25-34,58,140.87,S08000023
NHS Lothian,2012,Female,25-34,72,112.85,S08000024
NHS Orkney Islands,2012,Female,25-34,2,183.32,S08000025
NHS Tayside,2012,Female,25-34,40,163.83,S08000030
NHS Western Isles,2012,Female,25-34,1,76.1,S08000028
Other,2012,Female,25-34,3,-,Other
NHS Scotland,2012,Female,25-34,446,131.14,NHS Scotland
NHS Ayrshire & Arran,2012,Female,35-44,49,186.43,S08000015
NHS Borders,2012,Female,35-44,9,113.71,S08000016
NHS Dumfries & Galloway,2012,Female,35-44,10,102.57,S08000017
NHS Fife,2012,Female,35-44,34,132.57,S08000029
NHS Forth Valley,2012,Female,35-44,31,139.18,S08000019
NHS Grampian,2012,Female,35-44,34,85.61,S08000020
NHS Greater Glasgow & Clyde,2012,Female,35-44,112,138.92,S08000021
NHS Highland,2012,Female,35-44,23,106.17,S08000022
NHS Lanarkshire,2012,Female,35-44,72,148.07,S08000023
NHS Lothian,2012,Female,35-44,86,141.92,S08000024
NHS Tayside,2012,Female,35-44,20,75.39,S08000030
NHS Western Isles,2012,Female,35-44,1,55.19,S08000028
Other,2012,Female,35-44,6,-,Other
NHS Scotland,2012,Female,35-44,487,130.07,NHS Scotland
NHS Ayrshire & Arran,2012,Female,45-54,46,155.63,S08000015
NHS Borders,2012,Female,45-54,8,87.88,S08000016
NHS Dumfries & Galloway,2012,Female,45-54,12,101.04,S08000017
NHS Fife,2012,Female,45-54,25,90.32,S08000029
NHS Forth Valley,2012,Female,45-54,23,100.71,S08000019
NHS Grampian,2012,Female,45-54,41,98.03,S08000020
NHS Greater Glasgow & Clyde,2012,Female,45-54,142,161.83,S08000021
NHS Highland,2012,Female,45-54,19,75.07,S08000022
NHS Lanarkshire,2012,Female,45-54,54,104.93,S08000023
NHS Lothian,2012,Female,45-54,82,136.8,S08000024
NHS Orkney Islands,2012,Female,45-54,1,61.16,S08000025
NHS Tayside,2012,Female,45-54,35,114.85,S08000030
NHS Western Isles,2012,Female,45-54,4,196.66,S08000028
Other,2012,Female,45-54,3,-,Other
NHS Scotland,2012,Female,45-54,495,122.77,NHS Scotland
NHS Ayrshire & Arran,2012,Female,55-64,38,142.01,S08000015
NHS Borders,2012,Female,55-64,6,69.97,S08000016
NHS Dumfries & Galloway,2012,Female,55-64,8,70.13,S08000017
NHS Fife,2012,Female,55-64,26,105.63,S08000029
NHS Forth Valley,2012,Female,55-64,15,77.91,S08000019
NHS Grampian,2012,Female,55-64,27,74.7,S08000020
NHS Greater Glasgow & Clyde,2012,Female,55-64,123,183.35,S08000021
NHS Highland,2012,Female,55-64,28,117.37,S08000022
NHS Lanarkshire,2012,Female,55-64,42,99.46,S08000023
NHS Lothian,2012,Female,55-64,49,100.79,S08000024
NHS Tayside,2012,Female,55-64,9,32.86,S08000030
NHS Western Isles,2012,Female,55-64,3,147.93,S08000028
Other,2012,Female,55-64,1,-,Other
NHS Scotland,2012,Female,55-64,375,109.97,NHS Scotland
NHS Ayrshire & Arran,2012,Female,65-74,18,85.65,S08000015
NHS Borders,2012,Female,65-74,4,58.69,S08000016
NHS Dumfries & Galloway,2012,Female,65-74,7,74.67,S08000017
NHS Fife,2012,Female,65-74,10,53.62,S08000029
NHS Forth Valley,2012,Female,65-74,13,88.23,S08000019
NHS Grampian,2012,Female,65-74,24,94.21,S08000020
NHS Greater Glasgow & Clyde,2012,Female,65-74,56,109.72,S08000021
NHS Highland,2012,Female,65-74,20,110.78,S08000022
NHS Lanarkshire,2012,Female,65-74,24,75.99,S08000023
NHS Lothian,2012,Female,65-74,31,87.55,S08000024
NHS Tayside,2012,Female,65-74,11,51.11,S08000030
NHS Western Isles,2012,Female,65-74,2,119.69,S08000028
Other,2012,Female,65-74,2,-,Other
NHS Scotland,2012,Female,65-74,222,86.15,NHS Scotland
NHS Ayrshire & Arran,2012,Female,65+,38,93.73,S08000015
NHS Borders,2012,Female,65+,9,68.08,S08000016
NHS Dumfries & Galloway,2012,Female,65+,13,71.22,S08000017
NHS Fife,2012,Female,65+,28,77.45,S08000029
NHS Forth Valley,2012,Female,65+,28,100.65,S08000019
NHS Grampian,2012,Female,65+,53,104.47,S08000020
NHS Greater Glasgow & Clyde,2012,Female,65+,135,129,S08000021
NHS Highland,2012,Female,65+,38,109.16,S08000022
NHS Lanarkshire,2012,Female,65+,50,83.5,S08000023
NHS Lothian,2012,Female,65+,68,95.15,S08000024
NHS Tayside,2012,Female,65+,20,45.46,S08000030
NHS Western Isles,2012,Female,65+,4,117.06,S08000028
Other,2012,Female,65+,4,-,Other
NHS Scotland,2012,Female,65+,488,95.82,NHS Scotland
NHS Ayrshire & Arran,2012,Female,75-84,17,123.75,S08000015
NHS Borders,2012,Female,75-84,5,113.1,S08000016
NHS Dumfries & Galloway,2012,Female,75-84,5,79.2,S08000017
NHS Fife,2012,Female,75-84,16,130.95,S08000029
NHS Forth Valley,2012,Female,75-84,10,107.27,S08000019
NHS Grampian,2012,Female,75-84,24,134.85,S08000020
NHS Greater Glasgow & Clyde,2012,Female,75-84,61,159.8,S08000021
NHS Highland,2012,Female,75-84,12,102.11,S08000022
NHS Lanarkshire,2012,Female,75-84,22,105.58,S08000023
NHS Lothian,2012,Female,75-84,19,75.37,S08000024
NHS Tayside,2012,Female,75-84,8,51.15,S08000030
NHS Western Isles,2012,Female,75-84,1,85.84,S08000028
Other,2012,Female,75-84,2,-,Other
NHS Scotland,2012,Female,75-84,202,113.5,NHS Scotland
NHS Ayrshire & Arran,2012,Female,75+,20,102.42,S08000015
NHS Borders,2012,Female,75+,5,78.06,S08000016
NHS Dumfries & Galloway,2012,Female,75+,6,67.58,S08000017
NHS Fife,2012,Female,75+,18,102.85,S08000029
NHS Forth Valley,2012,Female,75+,15,114.63,S08000019
NHS Grampian,2012,Female,75+,29,114.82,S08000020
NHS Greater Glasgow & Clyde,2012,Female,75+,79,147.36,S08000021
NHS Highland,2012,Female,75+,18,107.42,S08000022
NHS Lanarkshire,2012,Female,75+,26,91.88,S08000023
NHS Lothian,2012,Female,75+,37,102.61,S08000024
NHS Tayside,2012,Female,75+,9,40.06,S08000030
NHS Western Isles,2012,Female,75+,2,114.55,S08000028
Other,2012,Female,75+,2,-,Other
NHS Scotland,2012,Female,75+,266,105.72,NHS Scotland
NHS Ayrshire & Arran,2012,Female,85+,3,51.81,S08000015
NHS Dumfries & Galloway,2012,Female,85+,1,38.99,S08000017
NHS Fife,2012,Female,85+,2,37.85,S08000029
NHS Forth Valley,2012,Female,85+,5,132.84,S08000019
NHS Grampian,2012,Female,85+,5,67.02,S08000020
NHS Greater Glasgow & Clyde,2012,Female,85+,18,116.6,S08000021
NHS Highland,2012,Female,85+,6,119.88,S08000022
NHS Lanarkshire,2012,Female,85+,4,53.62,S08000023
NHS Lothian,2012,Female,85+,18,165.91,S08000024
NHS Tayside,2012,Female,85+,1,14.65,S08000030
NHS Western Isles,2012,Female,85+,1,172.12,S08000028
NHS Scotland,2012,Female,85+,64,86.92,NHS Scotland
NHS Ayrshire & Arran,2012,Female,All ages,316,162.16,S08000015
NHS Borders,2012,Female,All ages,69,117.58,S08000016
NHS Dumfries & Galloway,2012,Female,All ages,72,92.27,S08000017
NHS Fife,2012,Female,All ages,199,105.67,S08000029
NHS Forth Valley,2012,Female,All ages,160,104.34,S08000019
NHS Grampian,2012,Female,All ages,315,109.45,S08000020
NHS Greater Glasgow & Clyde,2012,Female,All ages,911,154.48,S08000021
NHS Highland,2012,Female,All ages,202,123.13,S08000022
NHS Lanarkshire,2012,Female,All ages,443,131.29,S08000023
NHS Lothian,2012,Female,All ages,536,124.82,S08000024
NHS Orkney Islands,2012,Female,All ages,7,64.75,S08000025
NHS Shetland Islands,2012,Female,All ages,1,8.73,S08000026
NHS Tayside,2012,Female,All ages,217,102.55,S08000030
NHS Western Isles,2012,Female,All ages,20,142.47,S08000028
Other,2012,Female,All ages,24,-,Other
NHS Scotland,2012,Female,All ages,3492,127.93,NHS Scotland
NHS Ayrshire & Arran,2012,Male,00-14,89,291.04,S08000015
NHS Borders,2012,Male,00-14,27,295.66,S08000016
NHS Dumfries & Galloway,2012,Male,00-14,30,251.95,S08000017
NHS Fife,2012,Male,00-14,62,200.65,S08000029
NHS Forth Valley,2012,Male,00-14,52,203.28,S08000019
NHS Grampian,2012,Male,00-14,79,169.97,S08000020
NHS Greater Glasgow & Clyde,2012,Male,00-14,253,275.79,S08000021
NHS Highland,2012,Male,00-14,59,220.56,S08000022
NHS Lanarkshire,2012,Male,00-14,219,383.47,S08000023
NHS Lothian,2012,Male,00-14,215,316.02,S08000024
NHS Orkney Islands,2012,Male,00-14,1,58.41,S08000025
NHS Shetland Islands,2012,Male,00-14,4,184.16,S08000026
NHS Tayside,2012,Male,00-14,89,271.23,S08000030
NHS Western Isles,2012,Male,00-14,4,181.74,S08000028
Other,2012,Male,00-14,19,-,Other
NHS Scotland,2012,Male,00-14,1202,274.99,NHS Scotland
NHS Ayrshire & Arran,2012,Male,15-24,21,93.64,S08000015
NHS Borders,2012,Male,15-24,5,85.19,S08000016
NHS Dumfries & Galloway,2012,Male,15-24,8,95.58,S08000017
NHS Fife,2012,Male,15-24,13,56.83,S08000029
NHS Forth Valley,2012,Male,15-24,10,52.23,S08000019
NHS Grampian,2012,Male,15-24,24,61.56,S08000020
NHS Greater Glasgow & Clyde,2012,Male,15-24,49,60.41,S08000021
NHS Highland,2012,Male,15-24,7,37.97,S08000022
NHS Lanarkshire,2012,Male,15-24,20,49.63,S08000023
NHS Lothian,2012,Male,15-24,32,54.37,S08000024
NHS Orkney Islands,2012,Male,15-24,3,237.91,S08000025
NHS Tayside,2012,Male,15-24,19,68.13,S08000030
NHS Western Isles,2012,Male,15-24,1,67.8,S08000028
Other,2012,Male,15-24,3,-,Other
NHS Scotland,2012,Male,15-24,215,61.7,NHS Scotland
NHS Ayrshire & Arran,2012,Male,25-34,9,48.24,S08000015
NHS Borders,2012,Male,25-34,7,142.48,S08000016
NHS Dumfries & Galloway,2012,Male,25-34,4,58.39,S08000017
NHS Fife,2012,Male,25-34,9,44.33,S08000029
NHS Forth Valley,2012,Male,25-34,7,41.78,S08000019
NHS Grampian,2012,Male,25-34,18,46.25,S08000020
NHS Greater Glasgow & Clyde,2012,Male,25-34,53,67.28,S08000021
NHS Highland,2012,Male,25-34,11,64.99,S08000022
NHS Lanarkshire,2012,Male,25-34,25,64.92,S08000023
NHS Lothian,2012,Male,25-34,39,63.24,S08000024
NHS Tayside,2012,Male,25-34,17,70.7,S08000030
Other,2012,Male,25-34,2,-,Other
NHS Scotland,2012,Male,25-34,201,60.9,NHS Scotland
NHS Ayrshire & Arran,2012,Male,35-44,20,84.91,S08000015
NHS Borders,2012,Male,35-44,4,54.86,S08000016
NHS Dumfries & Galloway,2012,Male,35-44,10,113.34,S08000017
NHS Fife,2012,Male,35-44,17,69.26,S08000029
NHS Forth Valley,2012,Male,35-44,6,28.56,S08000019
NHS Grampian,2012,Male,35-44,15,37.73,S08000020
NHS Greater Glasgow & Clyde,2012,Male,35-44,50,66.66,S08000021
NHS Highland,2012,Male,35-44,12,60.4,S08000022
NHS Lanarkshire,2012,Male,35-44,32,69.34,S08000023
NHS Lothian,2012,Male,35-44,26,43.42,S08000024
NHS Tayside,2012,Male,35-44,10,40.55,S08000030
Other,2012,Male,35-44,3,-,Other
NHS Scotland,2012,Male,35-44,205,57.69,NHS Scotland
NHS Ayrshire & Arran,2012,Male,45-54,18,65.77,S08000015
NHS Borders,2012,Male,45-54,4,45.08,S08000016
NHS Dumfries & Galloway,2012,Male,45-54,5,44.14,S08000017
NHS Fife,2012,Male,45-54,9,33.95,S08000029
NHS Forth Valley,2012,Male,45-54,16,71.94,S08000019
NHS Grampian,2012,Male,45-54,16,38.85,S08000020
NHS Greater Glasgow & Clyde,2012,Male,45-54,77,94.8,S08000021
NHS Highland,2012,Male,45-54,25,102.91,S08000022
NHS Lanarkshire,2012,Male,45-54,22,45.4,S08000023
NHS Lothian,2012,Male,45-54,28,47.79,S08000024
NHS Tayside,2012,Male,45-54,10,34.19,S08000030
NHS Western Isles,2012,Male,45-54,1,47.85,S08000028
NHS Scotland,2012,Male,45-54,231,60.01,NHS Scotland
NHS Ayrshire & Arran,2012,Male,55-64,16,64.15,S08000015
NHS Borders,2012,Male,55-64,4,47.75,S08000016
NHS Dumfries & Galloway,2012,Male,55-64,7,63.35,S08000017
NHS Fife,2012,Male,55-64,10,42.74,S08000029
NHS Forth Valley,2012,Male,55-64,7,38.08,S08000019
NHS Grampian,2012,Male,55-64,19,52.15,S08000020
NHS Greater Glasgow & Clyde,2012,Male,55-64,55,86.27,S08000021
NHS Highland,2012,Male,55-64,9,38.73,S08000022
NHS Lanarkshire,2012,Male,55-64,22,55.64,S08000023
NHS Lothian,2012,Male,55-64,20,42.85,S08000024
NHS Shetland Islands,2012,Male,55-64,1,60.13,S08000026
NHS Tayside,2012,Male,55-64,11,41.9,S08000030
NHS Western Isles,2012,Male,55-64,4,188.41,S08000028
Other,2012,Male,55-64,2,-,Other
NHS Scotland,2012,Male,55-64,187,57.12,NHS Scotland
NHS Ayrshire & Arran,2012,Male,65-74,16,85.42,S08000015
NHS Borders,2012,Male,65-74,2,32.04,S08000016
NHS Dumfries & Galloway,2012,Male,65-74,3,34.36,S08000017
NHS Fife,2012,Male,65-74,5,29.74,S08000029
NHS Forth Valley,2012,Male,65-74,6,46.38,S08000019
NHS Grampian,2012,Male,65-74,7,30.07,S08000020
NHS Greater Glasgow & Clyde,2012,Male,65-74,28,65.09,S08000021
NHS Highland,2012,Male,65-74,12,71.35,S08000022
NHS Lanarkshire,2012,Male,65-74,12,44.72,S08000023
NHS Lothian,2012,Male,65-74,16,51.92,S08000024
NHS Tayside,2012,Male,65-74,8,42.05,S08000030
NHS Scotland,2012,Male,65-74,115,50.64,NHS Scotland
NHS Ayrshire & Arran,2012,Male,65+,30,95.63,S08000015
NHS Borders,2012,Male,65+,4,37.24,S08000016
NHS Dumfries & Galloway,2012,Male,65+,5,33.22,S08000017
NHS Fife,2012,Male,65+,8,28.12,S08000029
NHS Forth Valley,2012,Male,65+,10,46.24,S08000019
NHS Grampian,2012,Male,65+,17,42.48,S08000020
NHS Greater Glasgow & Clyde,2012,Male,65+,52,70.23,S08000021
NHS Highland,2012,Male,65+,19,67.61,S08000022
NHS Lanarkshire,2012,Male,65+,19,43.06,S08000023
NHS Lothian,2012,Male,65+,30,56.08,S08000024
NHS Tayside,2012,Male,65+,9,26.67,S08000030
Other,2012,Male,65+,1,-,Other
NHS Scotland,2012,Male,65+,204,52.71,NHS Scotland
NHS Ayrshire & Arran,2012,Male,75-84,11,109.29,S08000015
NHS Borders,2012,Male,75-84,2,56.98,S08000016
