FeatureCode,DateCode,Measurement,Units,Value,Age,Gender,Last alcoholic drink,Level of emotional and behavioural problems
S92000003,2015,Percent,Percent Of Pupils,65,15 years,All,More than one week ago,Normal
S92000003,2015,Percent,Percent Of Pupils,18,All,All,More than one week ago,Abnormal
S92000003,2015,Percent,Percent Of Pupils,52,All,All,Sometime during the last 7 days,Normal
S92000003,2015,Percent,Percent Of Pupils,53,15 years,All,Sometime during the last 7 days,Normal
S92000003,2015,Percent,Percent Of Pupils,27,15 years,All,Sometime during the last 7 days,Borderline
S92000003,2015,Percent,Percent Of Pupils,15,15 years,All,Never had a drink,Abnormal
S92000003,2015,Percent,Percent Of Pupils,46,13 years,All,Sometime during the last 7 days,Normal
S92000003,2015,Percent,Percent Of Pupils,32,13 years,All,Sometime during the last 7 days,Borderline
S92000003,2015,Percent,Percent Of Pupils,20,All,All,Sometime during the last 7 days,Abnormal
S92000003,2015,Percent,Percent Of Pupils,22,13 years,All,Sometime during the last 7 days,Abnormal
S92000003,2015,Percent,Percent Of Pupils,20,15 years,All,Sometime during the last 7 days,Abnormal
S92000003,2015,Percent,Percent Of Pupils,28,All,All,Sometime during the last 7 days,Borderline
S92000003,2015,Percent,Percent Of Pupils,12,13 years,All,Never had a drink,Abnormal
S92000003,2015,Percent,Percent Of Pupils,11,15 years,All,Never had a drink,Borderline
S92000003,2015,Percent,Percent Of Pupils,77,All,All,Never had a drink,Normal
S92000003,2015,Percent,Percent Of Pupils,22,13 years,All,More than one week ago,Borderline
S92000003,2015,Percent,Percent Of Pupils,17,15 years,All,More than one week ago,Borderline
S92000003,2015,Percent,Percent Of Pupils,74,15 years,All,Never had a drink,Normal
S92000003,2015,Percent,Percent Of Pupils,10,13 years,All,Never had a drink,Borderline
S92000003,2015,Percent,Percent Of Pupils,10,All,All,Never had a drink,Borderline
S92000003,2015,Percent,Percent Of Pupils,78,13 years,All,Never had a drink,Normal
S92000003,2015,Percent,Percent Of Pupils,13,All,All,Never had a drink,Abnormal
