FeatureCode,DateCode,Measurement,Units,Value
S12000038,1999/2000,Count,Hospital Discharges,114
S12000038,2006/2007,Count,Hospital Discharges,171
S12000038,2005/2006,Count,Hospital Discharges,123
S12000038,2007/2008,Count,Hospital Discharges,165
S12000038,2003/2004,Count,Hospital Discharges,111
S12000038,2004/2005,Count,Hospital Discharges,132
S12000036,2009/2010,Count,Hospital Discharges,618
S12000036,2008/2009,Count,Hospital Discharges,723
S12000036,2010/2011,Count,Hospital Discharges,756
S12000036,2006/2007,Count,Hospital Discharges,660
S12000036,2005/2006,Count,Hospital Discharges,633
S12000036,2007/2008,Count,Hospital Discharges,693
S12000036,2014/2015,Count,Hospital Discharges,1134
S12000036,2013/2014,Count,Hospital Discharges,846
S12000036,2015/2016,Count,Hospital Discharges,906
S12000036,2011/2012,Count,Hospital Discharges,762
S12000036,2012/2013,Count,Hospital Discharges,714
S12000039,2003/2004,Count,Hospital Discharges,102
S12000039,2002/2003,Count,Hospital Discharges,135
S12000039,2004/2005,Count,Hospital Discharges,90
S12000039,2000/2001,Count,Hospital Discharges,90
S12000039,1999/2000,Count,Hospital Discharges,69
S12000039,2001/2002,Count,Hospital Discharges,105
S12000039,2008/2009,Count,Hospital Discharges,111
S12000039,2007/2008,Count,Hospital Discharges,117
S12000039,2009/2010,Count,Hospital Discharges,132
S12000039,2005/2006,Count,Hospital Discharges,84
S12000039,2006/2007,Count,Hospital Discharges,69
S12000038,2011/2012,Count,Hospital Discharges,261
S12000038,2010/2011,Count,Hospital Discharges,267
S12000038,2012/2013,Count,Hospital Discharges,237
S12000038,2008/2009,Count,Hospital Discharges,237
S12000038,2009/2010,Count,Hospital Discharges,210
S12000039,1997/1998,Count,Hospital Discharges,45
S12000038,2015/2016,Count,Hospital Discharges,282
S12000039,1998/1999,Count,Hospital Discharges,45
S12000038,2013/2014,Count,Hospital Discharges,276
S12000038,2014/2015,Count,Hospital Discharges,288
S12000020,2001/2002,Count,Hospital Discharges,27
S12000020,2000/2001,Count,Hospital Discharges,18
S12000020,2002/2003,Count,Hospital Discharges,18
S12000020,1998/1999,Count,Hospital Discharges,6
S12000019,2015/2016,Count,Hospital Discharges,114
S12000020,1999/2000,Count,Hospital Discharges,9
S12000020,2006/2007,Count,Hospital Discharges,27
S12000020,2005/2006,Count,Hospital Discharges,36
S12000020,2007/2008,Count,Hospital Discharges,39
S12000020,2003/2004,Count,Hospital Discharges,33
S12000020,2004/2005,Count,Hospital Discharges,36
S12000019,2008/2009,Count,Hospital Discharges,84
S12000019,2007/2008,Count,Hospital Discharges,66
S12000019,2009/2010,Count,Hospital Discharges,63
S12000019,2005/2006,Count,Hospital Discharges,72
S12000019,2004/2005,Count,Hospital Discharges,54
S12000019,2006/2007,Count,Hospital Discharges,81
S12000019,2013/2014,Count,Hospital Discharges,99
S12000019,2012/2013,Count,Hospital Discharges,108
S12000019,2014/2015,Count,Hospital Discharges,141
S12000019,2010/2011,Count,Hospital Discharges,84
S12000019,2011/2012,Count,Hospital Discharges,93
S12000021,2004/2005,Count,Hospital Discharges,276
S12000021,2003/2004,Count,Hospital Discharges,258
S12000021,2005/2006,Count,Hospital Discharges,258
S12000021,2001/2002,Count,Hospital Discharges,243
S12000021,2000/2001,Count,Hospital Discharges,177
S12000021,2002/2003,Count,Hospital Discharges,258
S12000021,2009/2010,Count,Hospital Discharges,321
S12000021,2008/2009,Count,Hospital Discharges,348
S12000021,2010/2011,Count,Hospital Discharges,360
S12000021,2006/2007,Count,Hospital Discharges,288
S12000021,2007/2008,Count,Hospital Discharges,333
S12000020,2012/2013,Count,Hospital Discharges,42
S12000020,2011/2012,Count,Hospital Discharges,45
S12000020,2013/2014,Count,Hospital Discharges,48
S12000020,2009/2010,Count,Hospital Discharges,51
S12000020,2008/2009,Count,Hospital Discharges,42
S12000020,2010/2011,Count,Hospital Discharges,48
S12000021,1998/1999,Count,Hospital Discharges,102
S12000021,1997/1998,Count,Hospital Discharges,63
S12000021,1999/2000,Count,Hospital Discharges,117
S12000020,2014/2015,Count,Hospital Discharges,54
S12000020,2015/2016,Count,Hospital Discharges,108
S12000017,2014/2015,Count,Hospital Discharges,171
S12000017,2013/2014,Count,Hospital Discharges,168
S12000017,2015/2016,Count,Hospital Discharges,213
S12000017,2011/2012,Count,Hospital Discharges,219
S12000017,2010/2011,Count,Hospital Discharges,156
S12000017,2012/2013,Count,Hospital Discharges,186
S12000018,2000/2001,Count,Hospital Discharges,162
S12000018,1999/2000,Count,Hospital Discharges,147
S12000018,2001/2002,Count,Hospital Discharges,165
S12000018,1997/1998,Count,Hospital Discharges,111
S12000018,1998/1999,Count,Hospital Discharges,156
S12000017,2003/2004,Count,Hospital Discharges,84
S12000017,2002/2003,Count,Hospital Discharges,69
S12000017,2004/2005,Count,Hospital Discharges,102
S12000017,2000/2001,Count,Hospital Discharges,57
S12000017,1999/2000,Count,Hospital Discharges,54
S12000017,2001/2002,Count,Hospital Discharges,57
S12000017,2008/2009,Count,Hospital Discharges,192
S12000017,2007/2008,Count,Hospital Discharges,147
S12000017,2009/2010,Count,Hospital Discharges,162
S12000017,2005/2006,Count,Hospital Discharges,108
S12000017,2006/2007,Count,Hospital Discharges,105
S12000019,1997/1998,Count,Hospital Discharges,42
S12000018,2015/2016,Count,Hospital Discharges,252
S12000019,1998/1999,Count,Hospital Discharges,42
S12000018,2013/2014,Count,Hospital Discharges,195
S12000018,2012/2013,Count,Hospital Discharges,156
S12000018,2014/2015,Count,Hospital Discharges,228
S12000019,2002/2003,Count,Hospital Discharges,39
S12000019,2001/2002,Count,Hospital Discharges,42
S12000019,2003/2004,Count,Hospital Discharges,48
S12000019,1999/2000,Count,Hospital Discharges,42
S12000019,2000/2001,Count,Hospital Discharges,33
S12000018,2005/2006,Count,Hospital Discharges,105
S12000018,2004/2005,Count,Hospital Discharges,177
S12000018,2006/2007,Count,Hospital Discharges,114
S12000018,2002/2003,Count,Hospital Discharges,222
S12000018,2003/2004,Count,Hospital Discharges,228
S12000018,2010/2011,Count,Hospital Discharges,201
S12000018,2009/2010,Count,Hospital Discharges,198
S12000018,2011/2012,Count,Hospital Discharges,228
S12000018,2007/2008,Count,Hospital Discharges,198
S12000018,2008/2009,Count,Hospital Discharges,201
S12000028,2004/2005,Count,Hospital Discharges,189
S12000028,2003/2004,Count,Hospital Discharges,156
S12000028,2005/2006,Count,Hospital Discharges,165
S12000028,2001/2002,Count,Hospital Discharges,144
S12000028,2000/2001,Count,Hospital Discharges,123
S12000028,2002/2003,Count,Hospital Discharges,126
S12000028,2009/2010,Count,Hospital Discharges,156
S12000028,2008/2009,Count,Hospital Discharges,177
S12000028,2010/2011,Count,Hospital Discharges,177
S12000028,2006/2007,Count,Hospital Discharges,177
S12000028,2007/2008,Count,Hospital Discharges,165
S12000027,2012/2013,Count,Hospital Discharges,18
S12000027,2011/2012,Count,Hospital Discharges,21
S12000027,2013/2014,Count,Hospital Discharges,27
S12000027,2009/2010,Count,Hospital Discharges,33
S12000027,2008/2009,Count,Hospital Discharges,45
S12000027,2010/2011,Count,Hospital Discharges,36
S12000028,1998/1999,Count,Hospital Discharges,114
S12000028,1997/1998,Count,Hospital Discharges,72
S12000028,1999/2000,Count,Hospital Discharges,102
S12000027,2014/2015,Count,Hospital Discharges,21
S12000027,2015/2016,Count,Hospital Discharges,24
S12000029,2006/2007,Count,Hospital Discharges,186
S12000029,2005/2006,Count,Hospital Discharges,159
S12000029,2007/2008,Count,Hospital Discharges,171
S12000029,2003/2004,Count,Hospital Discharges,180
S12000029,2002/2003,Count,Hospital Discharges,192
S12000029,2004/2005,Count,Hospital Discharges,153
S12000029,2011/2012,Count,Hospital Discharges,249
S12000029,2010/2011,Count,Hospital Discharges,183
S12000029,2012/2013,Count,Hospital Discharges,252
S12000029,2008/2009,Count,Hospital Discharges,183
S12000029,2009/2010,Count,Hospital Discharges,162
S12000028,2014/2015,Count,Hospital Discharges,183
S12000028,2013/2014,Count,Hospital Discharges,162
S12000028,2015/2016,Count,Hospital Discharges,192
S12000028,2011/2012,Count,Hospital Discharges,162
S12000028,2012/2013,Count,Hospital Discharges,126
S12000029,2000/2001,Count,Hospital Discharges,177
S12000029,1999/2000,Count,Hospital Discharges,147
S12000029,2001/2002,Count,Hospital Discharges,195
S12000029,1997/1998,Count,Hospital Discharges,114
S12000029,1998/1999,Count,Hospital Discharges,144
S12000026,1998/1999,Count,Hospital Discharges,30
S12000026,1997/1998,Count,Hospital Discharges,36
S12000026,1999/2000,Count,Hospital Discharges,33
S12000023,2014/2015,Count,Hospital Discharges,15
S12000023,2013/2014,Count,Hospital Discharges,15
S12000023,2015/2016,Count,Hospital Discharges,9
S12000026,2003/2004,Count,Hospital Discharges,45
S12000026,2002/2003,Count,Hospital Discharges,60
S12000026,2004/2005,Count,Hospital Discharges,45
S12000026,2000/2001,Count,Hospital Discharges,42
S12000026,2001/2002,Count,Hospital Discharges,36
S12000021,2015/2016,Count,Hospital Discharges,387
S12000021,2014/2015,Count,Hospital Discharges,348
S12000023,1997/1998,Count,Hospital Discharges,0
S12000021,2012/2013,Count,Hospital Discharges,294
S12000021,2011/2012,Count,Hospital Discharges,375
S12000021,2013/2014,Count,Hospital Discharges,321
S12000023,2011/2012,Count,Hospital Discharges,6
S12000023,2010/2011,Count,Hospital Discharges,9
S12000023,2012/2013,Count,Hospital Discharges,9
S12000023,2002/2003,Count,Hospital Discharges,6
S12000023,2003/2004,Count,Hospital Discharges,6
S12000027,2001/2002,Count,Hospital Discharges,9
S12000027,1999/2000,Count,Hospital Discharges,9
S12000027,2002/2003,Count,Hospital Discharges,9
S12000027,1997/1998,Count,Hospital Discharges,12
S12000026,2015/2016,Count,Hospital Discharges,87
S12000027,1998/1999,Count,Hospital Discharges,9
S12000027,2006/2007,Count,Hospital Discharges,18
S12000027,2005/2006,Count,Hospital Discharges,27
S12000027,2007/2008,Count,Hospital Discharges,30
S12000027,2003/2004,Count,Hospital Discharges,6
S12000027,2004/2005,Count,Hospital Discharges,12
S12000026,2008/2009,Count,Hospital Discharges,75
S12000026,2007/2008,Count,Hospital Discharges,81
S12000026,2009/2010,Count,Hospital Discharges,69
S12000026,2005/2006,Count,Hospital Discharges,57
S12000026,2006/2007,Count,Hospital Discharges,57
S12000026,2013/2014,Count,Hospital Discharges,90
S12000026,2012/2013,Count,Hospital Discharges,81
S12000026,2014/2015,Count,Hospital Discharges,81
S12000026,2010/2011,Count,Hospital Discharges,84
S12000026,2011/2012,Count,Hospital Discharges,102
S12000050,2000/2001,Count,Hospital Discharges,279
S12000050,1999/2000,Count,Hospital Discharges,162
S12000050,2001/2002,Count,Hospital Discharges,249
S12000050,1997/1998,Count,Hospital Discharges,96
S08000032,2016/2017,Count,Hospital Discharges,990
S12000050,1998/1999,Count,Hospital Discharges,162
S12000050,2005/2006,Count,Hospital Discharges,201
S12000050,2004/2005,Count,Hospital Discharges,171
S12000050,2006/2007,Count,Hospital Discharges,198
S12000050,2002/2003,Count,Hospital Discharges,213
S12000050,2003/2004,Count,Hospital Discharges,186
S08000032,2009/2010,Count,Hospital Discharges,366
S08000032,2008/2009,Count,Hospital Discharges,423
S08000032,2010/2011,Count,Hospital Discharges,402
S08000032,2006/2007,Count,Hospital Discharges,384
S08000032,2005/2006,Count,Hospital Discharges,360
S08000032,2007/2008,Count,Hospital Discharges,429
S08000032,2014/2015,Count,Hospital Discharges,681
S08000032,2013/2014,Count,Hospital Discharges,618
S08000032,2015/2016,Count,Hospital Discharges,888
S08000032,2011/2012,Count,Hospital Discharges,501
S08000032,2012/2013,Count,Hospital Discharges,537
S12000049,2002/2003,Count,Hospital Discharges,1620
S12000049,2001/2002,Count,Hospital Discharges,1629
S12000049,2003/2004,Count,Hospital Discharges,1371
S12000049,1999/2000,Count,Hospital Discharges,1521
S12000049,1998/1999,Count,Hospital Discharges,1476
S12000049,2000/2001,Count,Hospital Discharges,1689
S12000049,2007/2008,Count,Hospital Discharges,1353
S12000049,2006/2007,Count,Hospital Discharges,1230
S12000049,2008/2009,Count,Hospital Discharges,1287
S12000049,2004/2005,Count,Hospital Discharges,1251
S12000049,2005/2006,Count,Hospital Discharges,1098
S12000050,2011/2012,Count,Hospital Discharges,255
S12000050,2010/2011,Count,Hospital Discharges,219
S12000050,2012/2013,Count,Hospital Discharges,288
S12000050,2008/2009,Count,Hospital Discharges,240
S12000050,2007/2008,Count,Hospital Discharges,255
S12000050,2009/2010,Count,Hospital Discharges,204
S12000050,2016/2017,Count,Hospital Discharges,540
S12000050,2015/2016,Count,Hospital Discharges,444
S12000049,1997/1998,Count,Hospital Discharges,1056
S12000050,2013/2014,Count,Hospital Discharges,354
S12000050,2014/2015,Count,Hospital Discharges,369
S08000031,1998/1999,Count,Hospital Discharges,1803
S08000031,1997/1998,Count,Hospital Discharges,1305
S08000031,1999/2000,Count,Hospital Discharges,1911
S08000030,2016/2017,Count,Hospital Discharges,597
S08000030,2015/2016,Count,Hospital Discharges,591
S08000031,1996/1997,Count,Hospital Discharges,1194
S08000031,2003/2004,Count,Hospital Discharges,1860
S08000031,2002/2003,Count,Hospital Discharges,2187
S08000031,2004/2005,Count,Hospital Discharges,1719
S08000031,2000/2001,Count,Hospital Discharges,2109
S08000031,2001/2002,Count,Hospital Discharges,2094
S08000030,2008/2009,Count,Hospital Discharges,438
S08000030,2007/2008,Count,Hospital Discharges,318
S08000030,2009/2010,Count,Hospital Discharges,498
S08000030,2005/2006,Count,Hospital Discharges,210
S08000030,2004/2005,Count,Hospital Discharges,192
S08000030,2006/2007,Count,Hospital Discharges,258
S08000030,2013/2014,Count,Hospital Discharges,612
S08000030,2012/2013,Count,Hospital Discharges,522
S08000030,2014/2015,Count,Hospital Discharges,624
S08000030,2010/2011,Count,Hospital Discharges,561
S08000030,2011/2012,Count,Hospital Discharges,570
S08000032,1998/1999,Count,Hospital Discharges,306
S08000032,1997/1998,Count,Hospital Discharges,210
S08000032,1999/2000,Count,Hospital Discharges,309
S08000031,2016/2017,Count,Hospital Discharges,3027
S08000031,2015/2016,Count,Hospital Discharges,2460
S08000032,1996/1997,Count,Hospital Discharges,144
S08000032,2003/2004,Count,Hospital Discharges,366
S08000032,2002/2003,Count,Hospital Discharges,405
S08000032,2004/2005,Count,Hospital Discharges,324
S08000032,2000/2001,Count,Hospital Discharges,456
S08000032,2001/2002,Count,Hospital Discharges,444
S08000031,2008/2009,Count,Hospital Discharges,1935
S08000031,2007/2008,Count,Hospital Discharges,1923
S08000031,2009/2010,Count,Hospital Discharges,1923
S08000031,2005/2006,Count,Hospital Discharges,1470
S08000031,2006/2007,Count,Hospital Discharges,1668
S08000031,2013/2014,Count,Hospital Discharges,1836
S08000031,2012/2013,Count,Hospital Discharges,1668
S08000031,2014/2015,Count,Hospital Discharges,2028
S08000031,2010/2011,Count,Hospital Discharges,2088
S08000031,2011/2012,Count,Hospital Discharges,1950
S12000030,2017/2018,Count,Hospital Discharges,120
S12000030,1996/1997,Count,Hospital Discharges,33
S12000033,1996/1997,Count,Hospital Discharges,285
S12000029,1996/1997,Count,Hospital Discharges,78
S12000028,2017/2018,Count,Hospital Discharges,237
S12000029,2017/2018,Count,Hospital Discharges,522
S12000035,1996/1997,Count,Hospital Discharges,24
S12000034,2017/2018,Count,Hospital Discharges,147
S12000035,2017/2018,Count,Hospital Discharges,84
S12000033,2017/2018,Count,Hospital Discharges,465
S12000034,1996/1997,Count,Hospital Discharges,66
S12000023,1996/1997,Count,Hospital Discharges,0
S12000021,2017/2018,Count,Hospital Discharges,474
S12000023,2017/2018,Count,Hospital Discharges,15
S12000020,2017/2018,Count,Hospital Discharges,87
S12000020,1996/1997,Count,Hospital Discharges,12
S12000021,1996/1997,Count,Hospital Discharges,66
S12000027,2017/2018,Count,Hospital Discharges,18
S12000027,1996/1997,Count,Hospital Discharges,12
S12000028,1996/1997,Count,Hospital Discharges,57
S12000026,1996/1997,Count,Hospital Discharges,24
S12000026,2017/2018,Count,Hospital Discharges,114
S12000047,2017/2018,Count,Hospital Discharges,855
S12000047,1996/1997,Count,Hospital Discharges,126
S12000048,1996/1997,Count,Hospital Discharges,30
S12000045,1996/1997,Count,Hospital Discharges,30
S12000042,2017/2018,Count,Hospital Discharges,471
S12000045,2017/2018,Count,Hospital Discharges,87
S12000050,1996/1997,Count,Hospital Discharges,66
S12000049,2017/2018,Count,Hospital Discharges,2241
S12000050,2017/2018,Count,Hospital Discharges,672
S12000048,2017/2018,Count,Hospital Discharges,153
S12000049,1996/1997,Count,Hospital Discharges,990
S12000039,1996/1997,Count,Hospital Discharges,33
S12000038,2017/2018,Count,Hospital Discharges,294
S12000039,2017/2018,Count,Hospital Discharges,204
S12000036,2017/2018,Count,Hospital Discharges,846
S12000036,1996/1997,Count,Hospital Discharges,426
S12000038,1996/1997,Count,Hospital Discharges,54
S12000041,2017/2018,Count,Hospital Discharges,120
S12000041,1996/1997,Count,Hospital Discharges,21
S12000042,1996/1997,Count,Hospital Discharges,108
S12000040,1996/1997,Count,Hospital Discharges,54
S12000040,2017/2018,Count,Hospital Discharges,345
S08000024,2017/2018,Count,Hospital Discharges,1476
S08000022,2017/2018,Count,Hospital Discharges,354
S08000025,2017/2018,Count,Hospital Discharges,15
S08000019,2017/2018,Count,Hospital Discharges,522
S08000017,2017/2018,Count,Hospital Discharges,276
S08000020,2017/2018,Count,Hospital Discharges,699
S08000030,2017/2018,Count,Hospital Discharges,747
S08000029,2017/2018,Count,Hospital Discharges,855
S08000031,2017/2018,Count,Hospital Discharges,3105
S08000026,2017/2018,Count,Hospital Discharges,18
S08000028,2017/2018,Count,Hospital Discharges,9
S12000049,2013/2014,Count,Hospital Discharges,1152
S12000049,2012/2013,Count,Hospital Discharges,1074
S12000049,2014/2015,Count,Hospital Discharges,1260
S12000049,2010/2011,Count,Hospital Discharges,1380
S12000049,2009/2010,Count,Hospital Discharges,1287
S12000049,2011/2012,Count,Hospital Discharges,1275
S08000015,2017/2018,Count,Hospital Discharges,1125
S92000003,2017/2018,Count,Hospital Discharges,10509
S08000016,2017/2018,Count,Hospital Discharges,114
S12000049,2015/2016,Count,Hospital Discharges,1617
S12000049,2016/2017,Count,Hospital Discharges,2067
S12000014,2017/2018,Count,Hospital Discharges,291
S12000014,1996/1997,Count,Hospital Discharges,42
S12000017,1996/1997,Count,Hospital Discharges,30
S12000013,1996/1997,Count,Hospital Discharges,3
S12000011,2017/2018,Count,Hospital Discharges,69
S12000013,2017/2018,Count,Hospital Discharges,9
S12000019,1996/1997,Count,Hospital Discharges,21
S12000018,2017/2018,Count,Hospital Discharges,210
S12000019,2017/2018,Count,Hospital Discharges,177
S12000017,2017/2018,Count,Hospital Discharges,267
S12000018,1996/1997,Count,Hospital Discharges,75
S12000006,1996/1997,Count,Hospital Discharges,42
S12000005,2017/2018,Count,Hospital Discharges,111
S12000006,2017/2018,Count,Hospital Discharges,276
S08000032,2017/2018,Count,Hospital Discharges,1197
S12000005,1996/1997,Count,Hospital Discharges,24
S12000010,2017/2018,Count,Hospital Discharges,105
S12000010,1996/1997,Count,Hospital Discharges,33
S12000011,1996/1997,Count,Hospital Discharges,9
S12000008,1996/1997,Count,Hospital Discharges,84
S12000008,2017/2018,Count,Hospital Discharges,414
S08000026,2000/2001,Count,Hospital Discharges,0
S08000025,2016/2017,Count,Hospital Discharges,6
S08000026,2016/2017,Count,Hospital Discharges,27
S08000025,2008/2009,Count,Hospital Discharges,3
S08000025,2007/2008,Count,Hospital Discharges,3
S08000025,2009/2010,Count,Hospital Discharges,3
S12000005,2016/2017,Count,Hospital Discharges,69
S08000028,2016/2017,Count,Hospital Discharges,9
S12000006,2016/2017,Count,Hospital Discharges,231
S08000028,1996/1997,Count,Hospital Discharges,3
S08000028,1998/1999,Count,Hospital Discharges,3
S08000025,1998/1999,Count,Hospital Discharges,0
S08000025,1996/1997,Count,Hospital Discharges,0
S08000025,1999/2000,Count,Hospital Discharges,0
S08000022,2016/2017,Count,Hospital Discharges,309
S08000020,2016/2017,Count,Hospital Discharges,633
S08000024,2016/2017,Count,Hospital Discharges,1305
S08000025,2005/2006,Count,Hospital Discharges,0
S08000025,2004/2005,Count,Hospital Discharges,6
S08000025,2006/2007,Count,Hospital Discharges,3
S08000025,2000/2001,Count,Hospital Discharges,0
S08000025,2001/2002,Count,Hospital Discharges,0
S12000023,2001/2002,Count,Hospital Discharges,0
S12000023,2000/2001,Count,Hospital Discharges,0
S12000023,2004/2005,Count,Hospital Discharges,6
S12000023,1998/1999,Count,Hospital Discharges,0
S12000021,2016/2017,Count,Hospital Discharges,507
S12000023,1999/2000,Count,Hospital Discharges,0
S12000023,2008/2009,Count,Hospital Discharges,3
S12000023,2007/2008,Count,Hospital Discharges,3
S12000023,2009/2010,Count,Hospital Discharges,3
S12000023,2005/2006,Count,Hospital Discharges,0
S12000023,2006/2007,Count,Hospital Discharges,3
S12000013,2016/2017,Count,Hospital Discharges,9
S12000013,1998/1999,Count,Hospital Discharges,3
