FeatureCode,DateCode,Measurement,Units,Value,Scottish Health Survey Indicator,Sex
S92000003,2009,95% Upper Confidence Limit,Percent Of Children,1.4,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2018,95% Lower Confidence Limit,Percent Of Children,0.3,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2018,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2012,Percent,Percent Of Children,0,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2018,95% Upper Confidence Limit,Percent Of Children,1.7,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2009,95% Upper Confidence Limit,Percent Of Children,0.9,Self-assessed general health (children): Bad/Very bad,All
S92000003,2009,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,All
S92000003,2009,95% Lower Confidence Limit,Percent Of Children,0.2,Self-assessed general health (children): Bad/Very bad,All
S92000003,2018,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2013,95% Upper Confidence Limit,Percent Of Children,1.4,Self-assessed general health (children): Bad/Very bad,All
S92000003,2010,95% Lower Confidence Limit,Percent Of Children,0.5,Self-assessed general health (children): Bad/Very bad,All
S92000003,2018,95% Lower Confidence Limit,Percent Of Children,0.4,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2014,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2011,95% Lower Confidence Limit,Percent Of Children,0.2,Self-assessed general health (children): Bad/Very bad,All
S92000003,2013,95% Lower Confidence Limit,Percent Of Children,0.4,Self-assessed general health (children): Bad/Very bad,All
S92000003,2019,95% Upper Confidence Limit,Percent Of Children,1.1,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2017,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2017,95% Upper Confidence Limit,Percent Of Children,1.6,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2019,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2017,95% Upper Confidence Limit,Percent Of Children,2.4,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2008,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,All
S92000003,2008,95% Lower Confidence Limit,Percent Of Children,0.3,Self-assessed general health (children): Bad/Very bad,All
S92000003,2017,95% Lower Confidence Limit,Percent Of Children,0.2,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2019,95% Lower Confidence Limit,Percent Of Children,0.2,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2019,95% Lower Confidence Limit,Percent Of Children,0.3,Self-assessed general health (children): Bad/Very bad,All
S92000003,2019,95% Upper Confidence Limit,Percent Of Children,1.4,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2019,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2019,95% Upper Confidence Limit,Percent Of Children,1.1,Self-assessed general health (children): Bad/Very bad,All
S92000003,2019,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,All
S92000003,2009,95% Lower Confidence Limit,Percent Of Children,0,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2017,95% Lower Confidence Limit,Percent Of Adults,59.3,Thinks would need dental treatment: No,Male
S92000003,2011,Percent,Percent Of Adults,61,Thinks would need dental treatment: No,Female
S92000003,2012,95% Upper Confidence Limit,Percent Of Adults,57.8,Thinks would need dental treatment: No,Male
S92000003,2014,Percent,Percent Of Adults,63,Thinks would need dental treatment: No,Female
S92000003,2017,Percent,Percent Of Adults,62,Thinks would need dental treatment: No,Male
S92000003,2015,95% Upper Confidence Limit,Percent Of Adults,66.3,Thinks would need dental treatment: No,Female
S92000003,2015,95% Lower Confidence Limit,Percent Of Adults,61.8,Thinks would need dental treatment: No,Female
S92000003,2017,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2008,95% Lower Confidence Limit,Percent Of Adults,53.6,Thinks would need dental treatment: No,Female
S92000003,2017,95% Lower Confidence Limit,Percent Of Children,0.5,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2008,95% Upper Confidence Limit,Percent Of Children,1.3,Self-assessed general health (children): Bad/Very bad,All
S92000003,2014,95% Lower Confidence Limit,Percent Of Adults,60.5,Thinks would need dental treatment: No,Female
S92000003,2015,Percent,Percent Of Adults,64,Thinks would need dental treatment: No,Female
S92000003,2016,95% Lower Confidence Limit,Percent Of Adults,59.6,Thinks would need dental treatment: No,All
S92000003,2016,95% Lower Confidence Limit,Percent Of Children,0.1,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2013,95% Lower Confidence Limit,Percent Of Children,0.4,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2008,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2017,95% Lower Confidence Limit,Percent Of Children,0.6,Self-assessed general health (children): Bad/Very bad,All
S92000003,2017,95% Upper Confidence Limit,Percent Of Children,1.7,Self-assessed general health (children): Bad/Very bad,All
S92000003,2017,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,All
S92000003,2011,95% Upper Confidence Limit,Percent Of Children,2,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2011,95% Upper Confidence Limit,Percent Of Children,0.3,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2011,95% Lower Confidence Limit,Percent Of Children,0,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2012,95% Upper Confidence Limit,Percent Of Children,1.1,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2011,95% Lower Confidence Limit,Percent Of Children,0.4,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2015,95% Lower Confidence Limit,Percent Of Children,0.1,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2011,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2015,95% Upper Confidence Limit,Percent Of Children,1.3,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2009,95% Upper Confidence Limit,Percent Of Children,0.7,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2014,95% Lower Confidence Limit,Percent Of Children,0.2,Self-assessed general health (children): Bad/Very bad,All
S92000003,2013,95% Upper Confidence Limit,Percent Of Children,2,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2014,95% Upper Confidence Limit,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,All
S92000003,2013,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2014,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,All
S92000003,2009,Percent,Percent Of Children,0,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2014,95% Lower Confidence Limit,Percent Of Children,0,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2016,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2013,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2014,95% Upper Confidence Limit,Percent Of Children,1.2,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2013,95% Lower Confidence Limit,Percent Of Children,0,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2013,95% Upper Confidence Limit,Percent Of Children,1.2,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2016,95% Upper Confidence Limit,Percent Of Children,1.6,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2019,Percent,Percent Of Adults,83,Toothache/mouth pain in last month: No,All
S92000003,2014,95% Lower Confidence Limit,Percent Of Adults,79.1,Toothache/mouth pain in last month: No,Male
S92000003,2014,Percent,Percent Of Adults,81,Toothache/mouth pain in last month: No,Male
S92000003,2019,95% Lower Confidence Limit,Percent Of Adults,81.7,Toothache/mouth pain in last month: No,All
S92000003,2010,95% Lower Confidence Limit,Percent Of Adults,76.2,Toothache/mouth pain in last month: No,Male
S92000003,2010,95% Upper Confidence Limit,Percent Of Adults,79.7,Toothache/mouth pain in last month: No,Male
S92000003,2018,Percent,Percent Of Adults,82,Toothache/mouth pain in last month: No,Female
S92000003,2011,95% Lower Confidence Limit,Percent Of Adults,75,Toothache/mouth pain in last month: No,Female
S92000003,2008,Percent,Percent Of Adults,76,Toothache/mouth pain in last month: No,All
S92000003,2012,95% Upper Confidence Limit,Percent Of Adults,80.8,Toothache/mouth pain in last month: No,Male
S92000003,2019,95% Upper Confidence Limit,Percent Of Adults,83.6,Toothache/mouth pain in last month: No,Female
S92000003,2008,95% Upper Confidence Limit,Percent Of Adults,77.1,Toothache/mouth pain in last month: No,All
S92000003,2014,95% Upper Confidence Limit,Percent Of Adults,83.2,Toothache/mouth pain in last month: No,Male
S92000003,2011,Percent,Percent Of Adults,78,Toothache/mouth pain in last month: No,All
S92000003,2008,95% Lower Confidence Limit,Percent Of Adults,74.4,Toothache/mouth pain in last month: No,All
S92000003,2016,95% Upper Confidence Limit,Percent Of Adults,80.4,Toothache/mouth pain in last month: No,Female
S92000003,2009,Percent,Percent Of Adults,79,Toothache/mouth pain in last month: No,Male
S92000003,2018,Percent,Percent Of Adults,82,Toothache/mouth pain in last month: No,All
S92000003,2012,95% Upper Confidence Limit,Percent Of Adults,77.5,Toothache/mouth pain in last month: No,Female
S92000003,2009,95% Lower Confidence Limit,Percent Of Adults,77.8,Toothache/mouth pain in last month: No,Male
S92000003,2015,Percent,Percent Of Adults,78,Toothache/mouth pain in last month: No,Female
S92000003,2013,95% Lower Confidence Limit,Percent Of Adults,76.8,Toothache/mouth pain in last month: No,All
S92000003,2011,95% Upper Confidence Limit,Percent Of Adults,77.9,Toothache/mouth pain in last month: No,Female
S92000003,2017,95% Lower Confidence Limit,Percent Of Adults,76.9,Toothache/mouth pain in last month: No,Female
S92000003,2017,Percent,Percent Of Adults,79,Toothache/mouth pain in last month: No,Female
S92000003,2017,95% Upper Confidence Limit,Percent Of Adults,80.8,Toothache/mouth pain in last month: No,Female
S92000003,2016,Percent,Percent Of Adults,81,Toothache/mouth pain in last month: No,Male
S92000003,2016,95% Upper Confidence Limit,Percent Of Adults,83.6,Toothache/mouth pain in last month: No,Male
S92000003,2016,95% Lower Confidence Limit,Percent Of Adults,79.4,Toothache/mouth pain in last month: No,Male
S92000003,2009,Percent,Percent Of Adults,74,Toothache/mouth pain in last month: No,Female
S92000003,2008,Percent,Percent Of Adults,78,Toothache/mouth pain in last month: No,Male
S92000003,2014,95% Upper Confidence Limit,Percent Of Adults,80.1,Toothache/mouth pain in last month: No,Female
S92000003,2008,95% Lower Confidence Limit,Percent Of Adults,76,Toothache/mouth pain in last month: No,Male
S92000003,2009,95% Lower Confidence Limit,Percent Of Adults,75.4,Toothache/mouth pain in last month: No,All
S92000003,2010,95% Lower Confidence Limit,Percent Of Adults,73.1,Toothache/mouth pain in last month: No,Female
S92000003,2010,95% Upper Confidence Limit,Percent Of Adults,75.9,Toothache/mouth pain in last month: No,Female
S92000003,2014,95% Lower Confidence Limit,Percent Of Adults,76.4,Toothache/mouth pain in last month: No,Female
S92000003,2019,Percent,Percent Of Children,5,Self-assessed general health (children): Fair,All
S92000003,2009,95% Upper Confidence Limit,Percent Of Adults,75.7,Toothache/mouth pain in last month: No,Female
S92000003,2016,95% Upper Confidence Limit,Percent Of Children,4.7,Self-assessed general health (children): Fair,Female
S92000003,2019,95% Lower Confidence Limit,Percent Of Children,3.7,Self-assessed general health (children): Fair,All
S92000003,2009,95% Lower Confidence Limit,Percent Of Adults,72.7,Toothache/mouth pain in last month: No,Female
S92000003,2008,95% Upper Confidence Limit,Percent Of Adults,79.5,Toothache/mouth pain in last month: No,Male
S92000003,2012,Percent,Percent Of Adults,77,Toothache/mouth pain in last month: No,All
S92000003,2010,Percent,Percent Of Adults,78,Toothache/mouth pain in last month: No,Male
S92000003,2015,95% Lower Confidence Limit,Percent Of Adults,80.2,Toothache/mouth pain in last month: No,Male
S92000003,2019,Percent,Percent Of Adults,82,Toothache/mouth pain in last month: No,Female
S92000003,2012,Percent,Percent Of Adults,79,Toothache/mouth pain in last month: No,Male
S92000003,2012,95% Lower Confidence Limit,Percent Of Adults,76.6,Toothache/mouth pain in last month: No,Male
S92000003,2019,95% Lower Confidence Limit,Percent Of Adults,80.1,Toothache/mouth pain in last month: No,Female
S92000003,2015,Percent,Percent Of Adults,82,Toothache/mouth pain in last month: No,Male
S92000003,2009,95% Upper Confidence Limit,Percent Of Adults,77.8,Toothache/mouth pain in last month: No,All
S92000003,2010,Percent,Percent Of Adults,75,Toothache/mouth pain in last month: No,Female
S92000003,2009,Percent,Percent Of Adults,77,Toothache/mouth pain in last month: No,All
S92000003,2014,Percent,Percent Of Adults,78,Toothache/mouth pain in last month: No,Female
S92000003,2018,95% Lower Confidence Limit,Percent Of Adults,79.9,Toothache/mouth pain in last month: No,Female
S92000003,2015,95% Upper Confidence Limit,Percent Of Adults,84.1,Toothache/mouth pain in last month: No,Male
S92000003,2018,95% Upper Confidence Limit,Percent Of Adults,83.2,Toothache/mouth pain in last month: No,Female
S92000003,2015,95% Upper Confidence Limit,Percent Of Adults,81.6,Toothache/mouth pain in last month: No,All
S92000003,2015,95% Lower Confidence Limit,Percent Of Adults,78.8,Toothache/mouth pain in last month: No,All
S92000003,2013,95% Upper Confidence Limit,Percent Of Adults,78.4,Toothache/mouth pain in last month: No,Female
S92000003,2014,95% Upper Confidence Limit,Percent Of Adults,81.1,Toothache/mouth pain in last month: No,All
S92000003,2011,95% Lower Confidence Limit,Percent Of Adults,77.4,Toothache/mouth pain in last month: No,Male
S92000003,2011,95% Upper Confidence Limit,Percent Of Adults,80.7,Toothache/mouth pain in last month: No,Male
S92000003,2015,Percent,Percent Of Adults,80,Toothache/mouth pain in last month: No,All
S92000003,2014,Percent,Percent Of Adults,80,Toothache/mouth pain in last month: No,All
S92000003,2017,95% Lower Confidence Limit,Percent Of Adults,81.6,Toothache/mouth pain in last month: No,Male
S92000003,2013,Percent,Percent Of Adults,78,Toothache/mouth pain in last month: No,All
S92000003,2017,Percent,Percent Of Adults,84,Toothache/mouth pain in last month: No,Male
S92000003,2011,Percent,Percent Of Adults,76,Toothache/mouth pain in last month: No,Female
S92000003,2012,Percent,Percent Of Adults,76,Toothache/mouth pain in last month: No,Female
S92000003,2013,Percent,Percent Of Adults,77,Toothache/mouth pain in last month: No,Female
S92000003,2017,95% Upper Confidence Limit,Percent Of Adults,86.1,Toothache/mouth pain in last month: No,Male
S92000003,2010,Percent,Percent Of Adults,76,Toothache/mouth pain in last month: No,All
S92000003,2015,95% Upper Confidence Limit,Percent Of Children,1.3,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2016,95% Upper Confidence Limit,Percent Of Adults,81.4,Toothache/mouth pain in last month: No,All
S92000003,2016,95% Lower Confidence Limit,Percent Of Adults,78.3,Toothache/mouth pain in last month: No,All
S92000003,2015,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2010,Percent,Percent Of Children,1,Self-assessed general health (children): Bad/Very bad,Female
S92000003,2016,95% Upper Confidence Limit,Percent Of Children,1.9,Self-assessed general health (children): Bad/Very bad,Male
S92000003,2018,95% Lower Confidence Limit,Percent Of Adults,81,Toothache/mouth pain in last month: No,Male
S92000003,2016,Percent,Percent Of Adults,80,Toothache/mouth pain in last month: No,All
S92000003,2010,95% Lower Confidence Limit,Percent Of Adults,75,Toothache/mouth pain in last month: No,All
S92000003,2010,95% Upper Confidence Limit,Percent Of Adults,77.3,Toothache/mouth pain in last month: No,All
S92000003,2011,Percent,Percent Of Adults,79,Toothache/mouth pain in last month: No,Male
S92000003,2018,Percent,Percent Of Adults,83,Toothache/mouth pain in last month: No,Male
S92000003,2018,95% Upper Confidence Limit,Percent Of Adults,84.6,Toothache/mouth pain in last month: No,Male
S92000003,2018,95% Lower Confidence Limit,Percent Of Adults,80.9,Toothache/mouth pain in last month: No,All
S92000003,2018,95% Upper Confidence Limit,Percent Of Adults,83.4,Toothache/mouth pain in last month: No,All
S92000003,2019,95% Upper Confidence Limit,Percent Of Adults,86.2,Toothache/mouth pain in last month: No,Male
S92000003,2008,95% Lower Confidence Limit,Percent Of Adults,72.2,Toothache/mouth pain in last month: No,Female
S92000003,2015,95% Lower Confidence Limit,Percent Of Adults,76.6,Toothache/mouth pain in last month: No,Female
S92000003,2008,95% Upper Confidence Limit,Percent Of Adults,75.6,Toothache/mouth pain in last month: No,Female
S92000003,2015,95% Upper Confidence Limit,Percent Of Adults,80,Toothache/mouth pain in last month: No,Female
S92000003,2016,Percent,Percent Of Adults,78,Toothache/mouth pain in last month: No,Female
S92000003,2019,95% Lower Confidence Limit,Percent Of Adults,82.6,Toothache/mouth pain in last month: No,Male
S92000003,2012,95% Lower Confidence Limit,Percent Of Adults,73.8,Toothache/mouth pain in last month: No,Female
S92000003,2009,95% Upper Confidence Limit,Percent Of Adults,80.9,Toothache/mouth pain in last month: No,Male
S92000003,2013,95% Upper Confidence Limit,Percent Of Adults,79.6,Toothache/mouth pain in last month: No,All
S92000003,2016,95% Lower Confidence Limit,Percent Of Adults,76.3,Toothache/mouth pain in last month: No,Female
S92000003,2019,Percent,Percent Of Adults,84,Toothache/mouth pain in last month: No,Male
S92000003,2011,95% Upper Confidence Limit,Percent Of Adults,78.8,Toothache/mouth pain in last month: No,All
S92000003,2011,95% Lower Confidence Limit,Percent Of Adults,76.6,Toothache/mouth pain in last month: No,All
S92000003,2017,95% Lower Confidence Limit,Percent Of Adults,79.8,Toothache/mouth pain in last month: No,All
S92000003,2019,95% Upper Confidence Limit,Percent Of Adults,84.4,Toothache/mouth pain in last month: No,All
S92000003,2017,95% Upper Confidence Limit,Percent Of Adults,82.7,Toothache/mouth pain in last month: No,All
S92000003,2017,Percent,Percent Of Adults,81,Toothache/mouth pain in last month: No,All
S92000003,2012,95% Upper Confidence Limit,Percent Of Adults,78.6,Toothache/mouth pain in last month: No,All
S92000003,2012,95% Lower Confidence Limit,Percent Of Adults,75.7,Toothache/mouth pain in last month: No,All
S92000003,2013,95% Upper Confidence Limit,Percent Of Adults,81.7,Toothache/mouth pain in last month: No,Male
S92000003,2008,Percent,Percent Of Adults,74,Toothache/mouth pain in last month: No,Female
S92000003,2013,95% Lower Confidence Limit,Percent Of Adults,77.9,Toothache/mouth pain in last month: No,Male
S92000003,2013,95% Lower Confidence Limit,Percent Of Adults,74.9,Toothache/mouth pain in last month: No,Female
S92000003,2013,Percent,Percent Of Adults,80,Toothache/mouth pain in last month: No,Male
S92000003,2014,95% Lower Confidence Limit,Percent Of Adults,78.2,Toothache/mouth pain in last month: No,All
S92000003,2018,95% Upper Confidence Limit,Portions of fruit & vegetables,3,Fruit & vegetable consumption (mean daily portions) (children),Male
S92000003,2012,Mean,Portions of fruit & vegetables,2.5,Fruit & vegetable consumption (mean daily portions) (children),Male
S92000003,2018,Mean,Portions of fruit & vegetables,2.8,Fruit & vegetable consumption (mean daily portions) (children),Female
S92000003,2018,95% Lower Confidence Limit,Portions of fruit & vegetables,2.6,Fruit & vegetable consumption (mean daily portions) (children),Male
S92000003,2019,95% Lower Confidence Limit,Portions of fruit & vegetables,2.7,Fruit & vegetable consumption (mean daily portions) (children),All
S92000003,2015,95% Lower Confidence Limit,Portions of fruit & vegetables,2.6,Fruit & vegetable consumption (mean daily portions) (children),All
S92000003,2017,Mean,Portions of fruit & vegetables,2.9,Fruit & vegetable consumption (mean daily portions) (children),Female
S92000003,2019,95% Upper Confidence Limit,Portions of fruit & vegetables,2.9,Fruit & vegetable consumption (mean daily portions) (children),All
S92000003,2010,95% Lower Confidence Limit,Portions of fruit & vegetables,2.4,Fruit & vegetable consumption (mean daily portions) (children),Male
S92000003,2018,95% Upper Confidence Limit,Portions of fruit & vegetables,3,Fruit & vegetable consumption (mean daily portions) (children),All
S92000003,2019,95% Lower Confidence Limit,Portions of fruit & vegetables,2.5,Fruit & vegetable consumption (mean daily portions) (children),Male
S92000003,2009,95% Lower Confidence Limit,Portions of fruit & vegetables,2.7,Fruit & vegetable consumption (mean daily portions) (children),All
S92000003,2015,95% Upper Confidence Limit,Portions of fruit & vegetables,2.8,Fruit & vegetable consumption (mean daily portions) (children),Male
S92000003,2018,95% Lower Confidence Limit,Portions of fruit & vegetables,2.7,Fruit & vegetable consumption (mean daily portions) (children),All
S92000003,2017,95% Lower Confidence Limit,Portions of fruit & vegetables,2.7,Fruit & vegetable consumption (mean daily portions) (children),Female
S92000003,2012,Mean,Portions of fruit & vegetables,2.7,Fruit & vegetable consumption (mean daily portions) (children),All
S92000003,2012,95% Lower Confidence Limit,Portions of fruit & vegetables,2.6,Fruit & vegetable consumption (mean daily portions) (children),All
S92000003,2008,95% Lower Confidence Limit,Portions of fruit & vegetables,2.7,Fruit & vegetable consumption (mean daily portions) (children),Female
S92000003,2016,95% Lower Confidence Limit,Portions of fruit & vegetables,2.7,Fruit & vegetable consumption (mean daily portions) (children),Female
S92000003,2013,95% Lower Confidence Limit,Portions of fruit & vegetables,2.6,Fruit & vegetable consumption (mean daily portions) (children),All
S92000003,2013,95% Upper Confidence Limit,Portions of fruit & vegetables,2.9,Fruit & vegetable consumption (mean daily portions) (children),All
S92000003,2013,Mean,Portions of fruit & vegetables,2.7,Fruit & vegetable consumption (mean daily portions) (children),All
S92000003,2015,95% Lower Confidence Limit,Portions of fruit & vegetables,2.5,Fruit & vegetable consumption (mean daily portions) (children),Male
S92000003,2019,Mean,Portions of fruit & vegetables,2.8,Fruit & vegetable consumption (mean daily portions) (children),All
S92000003,2015,Mean,Portions of fruit & vegetables,2.7,Fruit & vegetable consumption (mean daily portions) (children),All
S92000003,2008,Mean,Portions of fruit & vegetables,2.9,Fruit & vegetable consumption (mean daily portions) (children),Female
S92000003,2008,95% Upper Confidence Limit,Portions of fruit & vegetables,3,Fruit & vegetable consumption (mean daily portions) (children),Female
S92000003,2012,95% Upper Confidence Limit,Portions of fruit & vegetables,2.9,Fruit & vegetable consumption (mean daily portions) (children),All
S92000003,2015,Mean,Portions of fruit & vegetables,2.7,Fruit & vegetable consumption (mean daily portions) (children),Male
S92000003,2013,95% Upper Confidence Limit,Portions of fruit & vegetables,2.9,Fruit & vegetable consumption (mean daily portions) (children),Male
S92000003,2011,95% Upper Confidence Limit,Portions of fruit & vegetables,2.9,Fruit & vegetable consumption (mean daily portions) (children),Male
S92000003,2009,Mean,Portions of fruit & vegetables,2.7,Fruit & vegetable consumption (mean daily portions) (children),Male
S92000003,2014,95% Upper Confidence Limit,Portions of fruit & vegetables,3,Fruit & vegetable consumption (mean daily portions) (children),Female
S92000003,2019,Mean,Portions of fruit & vegetables,2.6,Fruit & vegetable consumption (mean daily portions) (children),Male
S92000003,2017,95% Upper Confidence Limit,Portions of fruit & vegetables,3.1,Fruit & vegetable consumption (mean daily portions) (children),Male
S92000003,2019,95% Upper Confidence Limit,Portions of fruit & vegetables,2.8,Fruit & vegetable consumption (mean daily portions) (children),Male
S92000003,2012,Mean,Portions of fruit & vegetables,2.9,Fruit & vegetable consumption (mean daily portions) (children),Female
S92000003,2010,95% Upper Confidence Limit,Portions of fruit & vegetables,2.8,Fruit & vegetable consumption (mean daily portions) (children),Female
S92000003,2013,95% Lower Confidence Limit,Portions of fruit & vegetables,2.5,Fruit & vegetable consumption (mean daily portions) (children),Male
